27,"SELECT TOP # p.objid, p.ra,p.dec,p.petror9#_r, p.dered_g, p.dered_r, s.z as z_spec, s.zErr, zns.nvote, zns.p_el as elliptical, zns.p_cw as spiralclock, zns.p_acw as spiralanticlock, zns.p_edge as edgeon, zns.p_dk as dontknow, zns.p_mg as merger   FROM Galaxy as p    JOIN ZooNoSpec AS zns ON p.objid = zns.objid    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.z BETWEEN # AND #"
2019-02-28 10:52:00,2
2019-02-28 10:57:00,2
2019-02-28 14:17:00,1
2019-02-28 14:18:00,5
2019-02-28 14:32:00,2
2019-02-28 14:33:00,4
2019-02-28 14:34:00,4
2019-02-28 14:40:00,1
2019-02-28 14:41:00,2
2019-02-28 14:43:00,2
2019-02-28 14:44:00,2
