31,select objid from photoobjall where photoobjall.dec between -.# and # and photoobjall.ra between # and #
2019-02-28 07:48:00,1
2019-02-28 07:49:00,1
2019-02-28 07:57:00,3
2019-02-28 08:06:00,1
2019-02-28 08:15:00,1
2019-02-28 08:21:00,1
2019-02-28 08:39:00,1
2019-02-28 08:50:00,1
2019-02-28 08:59:00,1
2019-02-28 09:08:00,1
2019-02-28 09:14:00,1
2019-02-28 09:24:00,1
2019-02-28 09:35:00,2
2019-02-28 09:36:00,1
2019-02-28 09:47:00,2
2019-02-28 10:01:00,1
2019-02-28 10:07:00,1
2019-02-28 10:17:00,1
2019-02-28 10:26:00,1
2019-02-28 10:34:00,1
2019-02-28 11:08:00,1
2019-02-28 11:18:00,1
2019-02-28 11:25:00,1
2019-02-28 11:39:00,1
2019-02-28 11:48:00,1
2019-02-28 11:51:00,1
2019-02-28 11:59:00,1
