59,"SELECT ra,dec,u,err_u,g,err_g,r,err_r,i,err_i,z,err_z FROM Star WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g<#"
2019-02-28 07:56:00,4
2019-02-28 07:58:00,1
2019-02-28 07:59:00,2
2019-02-28 08:00:00,1
2019-02-28 08:01:00,6
2019-02-28 08:02:00,5
2019-02-28 08:03:00,8
2019-02-28 08:07:00,1
2019-02-28 08:14:00,1
2019-02-28 08:15:00,1
2019-02-28 08:16:00,1
2019-02-28 08:17:00,1
2019-02-28 08:18:00,2
2019-02-28 08:20:00,1
2019-02-28 08:21:00,3
2019-02-28 08:22:00,1
2019-02-28 08:39:00,2
2019-02-28 10:19:00,1
2019-02-28 10:39:00,3
2019-02-28 11:22:00,7
2019-02-28 11:23:00,2
2019-02-28 14:10:00,5
