5,"select _id,the_geom.STArea()  as area, the_geom.ToString() as wkt   from MSchoolZones  where _year=#  order by area desc"
2019-02-28 16:51:00,2
2019-02-28 16:52:00,2
2019-02-28 17:13:00,1
