3,"SELECT s.ra, s.dec, s.psfmag_g-s.extinction_g as g, s.psfmag_r- s.extinction_r as r, s.psfmag_i-s.extinction_i as i FROM star as s WHERE s.ra BETWEEN # AND # and s.dec BETWEEN # and # AND CLEAN=# AND s.psfmag_r <# AND s.psfmag_g < #"
2019-02-28 02:41:00,1
2019-02-28 02:44:00,1
2019-02-28 02:46:00,1
