1261,select apstar_id from apogeestar where apogeestar.dec between # and # and apogeestar.ra between # and #
2019-02-28 00:08:00,1
2019-02-28 00:19:00,5
2019-02-28 00:20:00,4
2019-02-28 02:58:00,1
2019-02-28 03:16:00,6
2019-02-28 03:17:00,17
2019-02-28 03:18:00,5
2019-02-28 03:19:00,5
2019-02-28 03:20:00,19
2019-02-28 03:21:00,7
2019-02-28 03:22:00,5
2019-02-28 03:23:00,3
2019-02-28 03:36:00,1
2019-02-28 03:44:00,2
2019-02-28 03:46:00,1
2019-02-28 03:47:00,7
2019-02-28 03:48:00,8
2019-02-28 03:49:00,4
2019-02-28 03:50:00,11
2019-02-28 03:51:00,8
2019-02-28 03:52:00,2
2019-02-28 03:53:00,5
2019-02-28 03:54:00,172
2019-02-28 03:55:00,63
2019-02-28 03:56:00,7
2019-02-28 03:57:00,15
2019-02-28 03:58:00,6
2019-02-28 04:14:00,3
2019-02-28 04:15:00,2
2019-02-28 04:21:00,2
2019-02-28 04:25:00,1
2019-02-28 04:28:00,1
2019-02-28 04:29:00,1
2019-02-28 04:45:00,4
2019-02-28 04:46:00,1
2019-02-28 04:50:00,3
2019-02-28 04:51:00,2
2019-02-28 04:52:00,9
2019-02-28 04:53:00,9
2019-02-28 04:54:00,2
2019-02-28 04:56:00,2
2019-02-28 04:59:00,1
2019-02-28 05:00:00,1
2019-02-28 05:09:00,5
2019-02-28 05:10:00,4
2019-02-28 05:25:00,2
2019-02-28 05:26:00,3
2019-02-28 05:27:00,6
2019-02-28 05:41:00,5
2019-02-28 05:42:00,1
2019-02-28 05:43:00,4
2019-02-28 05:47:00,10
2019-02-28 06:04:00,11
2019-02-28 06:18:00,4
2019-02-28 06:20:00,4
2019-02-28 06:22:00,2
2019-02-28 06:25:00,7
2019-02-28 06:39:00,2
2019-02-28 06:41:00,2
2019-02-28 06:42:00,1
2019-02-28 06:45:00,3
2019-02-28 06:56:00,1
2019-02-28 06:57:00,5
2019-02-28 06:58:00,2
2019-02-28 06:59:00,9
2019-02-28 07:00:00,9
2019-02-28 07:01:00,8
2019-02-28 07:02:00,9
2019-02-28 07:03:00,8
2019-02-28 07:04:00,8
2019-02-28 07:05:00,5
2019-02-28 07:06:00,15
2019-02-28 07:07:00,12
2019-02-28 07:08:00,2
2019-02-28 07:09:00,7
2019-02-28 07:10:00,15
2019-02-28 07:11:00,5
2019-02-28 07:12:00,4
2019-02-28 07:13:00,5
2019-02-28 07:14:00,6
2019-02-28 07:16:00,6
2019-02-28 07:17:00,7
2019-02-28 07:18:00,5
2019-02-28 07:19:00,3
2019-02-28 07:20:00,4
2019-02-28 07:21:00,1
2019-02-28 07:22:00,6
2019-02-28 07:24:00,6
2019-02-28 07:25:00,12
2019-02-28 07:26:00,5
2019-02-28 07:31:00,3
2019-02-28 07:32:00,5
2019-02-28 07:33:00,8
2019-02-28 07:34:00,2
2019-02-28 07:35:00,4
2019-02-28 07:36:00,4
2019-02-28 07:37:00,9
2019-02-28 07:38:00,5
2019-02-28 07:39:00,15
2019-02-28 07:40:00,10
2019-02-28 07:41:00,2
2019-02-28 07:42:00,6
2019-02-28 07:43:00,3
2019-02-28 07:44:00,6
2019-02-28 07:45:00,10
2019-02-28 07:46:00,6
2019-02-28 07:47:00,5
2019-02-28 11:34:00,2
2019-02-28 12:01:00,6
2019-02-28 12:02:00,7
2019-02-28 12:03:00,4
2019-02-28 12:05:00,1
2019-02-28 12:06:00,8
2019-02-28 12:07:00,5
2019-02-28 12:15:00,138
2019-02-28 12:16:00,5
2019-02-28 12:17:00,74
2019-02-28 12:18:00,83
2019-02-28 12:22:00,30
2019-02-28 12:23:00,2
2019-02-28 14:18:00,28
2019-02-28 14:19:00,64
2019-02-28 23:44:00,1
