332,select objid from star where star.dec between # and # and star.ra between # and #
2019-02-28 07:31:00,4
2019-02-28 07:48:00,5
2019-02-28 07:49:00,1
2019-02-28 07:52:00,1
2019-02-28 07:55:00,2
2019-02-28 07:57:00,12
2019-02-28 07:58:00,1
2019-02-28 07:59:00,1
2019-02-28 08:00:00,1
2019-02-28 08:01:00,1
2019-02-28 08:02:00,1
2019-02-28 08:04:00,1
2019-02-28 08:07:00,2
2019-02-28 08:09:00,2
2019-02-28 08:10:00,1
2019-02-28 08:11:00,4
2019-02-28 08:14:00,5
2019-02-28 08:15:00,4
2019-02-28 08:16:00,2
2019-02-28 08:21:00,1
2019-02-28 08:24:00,1
2019-02-28 08:25:00,1
2019-02-28 08:27:00,1
2019-02-28 08:29:00,1
2019-02-28 08:36:00,1
2019-02-28 08:37:00,1
2019-02-28 08:38:00,1
2019-02-28 08:40:00,1
2019-02-28 08:41:00,1
2019-02-28 08:59:00,14
2019-02-28 09:01:00,2
2019-02-28 09:02:00,1
2019-02-28 09:05:00,1
2019-02-28 09:08:00,1
2019-02-28 09:10:00,1
2019-02-28 09:12:00,2
2019-02-28 09:14:00,4
2019-02-28 09:15:00,1
2019-02-28 09:18:00,1
2019-02-28 09:32:00,2
2019-02-28 09:35:00,5
2019-02-28 09:36:00,4
2019-02-28 09:38:00,1
2019-02-28 09:39:00,1
2019-02-28 09:41:00,1
2019-02-28 09:42:00,1
2019-02-28 09:44:00,1
2019-02-28 09:45:00,2
2019-02-28 09:46:00,2
2019-02-28 09:47:00,2
2019-02-28 09:48:00,2
2019-02-28 09:51:00,2
2019-02-28 10:07:00,5
2019-02-28 10:11:00,1
2019-02-28 10:12:00,3
2019-02-28 10:13:00,3
2019-02-28 10:17:00,6
2019-02-28 10:21:00,2
2019-02-28 10:29:00,2
2019-02-28 10:30:00,2
2019-02-28 10:43:00,14
2019-02-28 10:45:00,1
2019-02-28 10:46:00,1
2019-02-28 10:47:00,1
2019-02-28 10:50:00,2
2019-02-28 10:53:00,1
2019-02-28 11:00:00,1
2019-02-28 11:02:00,1
2019-02-28 11:03:00,1
2019-02-28 11:04:00,1
2019-02-28 11:08:00,1
2019-02-28 11:10:00,1
2019-02-28 11:18:00,1
2019-02-28 11:31:00,1
2019-02-28 11:34:00,3
2019-02-28 11:41:00,1
2019-02-28 11:46:00,1
2019-02-28 11:48:00,1
2019-02-28 11:51:00,1
2019-02-28 11:53:00,1
2019-02-28 11:56:00,1
2019-02-28 11:57:00,1
2019-02-28 12:03:00,20
2019-02-28 12:04:00,76
2019-02-28 12:05:00,48
2019-02-28 14:18:00,11
