64,"SELECT TOP # p.ra,p.dec,p.type,p.modelmag_g,p.modelmag_r,p.modelmag_i,p.run,p.rerun,p.camcol,p.field,p.obj,p.objid,dbo.fIAUFromEq(p.ra,p.dec),r.z,r.Zerr FROM Galaxy as p, photoz as r WHERE p.ObjID=r.ObjID and p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-02-28 19:46:00,1
2019-02-28 19:48:00,1
2019-02-28 19:50:00,2
2019-02-28 19:52:00,2
2019-02-28 19:53:00,2
2019-02-28 19:54:00,4
2019-02-28 19:55:00,2
2019-02-28 19:56:00,5
2019-02-28 19:57:00,1
2019-02-28 19:59:00,1
2019-02-28 20:00:00,4
2019-02-28 20:01:00,1
2019-02-28 20:02:00,4
2019-02-28 20:03:00,5
2019-02-28 20:04:00,6
2019-02-28 20:05:00,4
2019-02-28 20:06:00,1
2019-02-28 20:08:00,1
2019-02-28 20:09:00,1
2019-02-28 20:11:00,3
2019-02-28 20:12:00,3
2019-02-28 20:13:00,2
2019-02-28 20:14:00,1
2019-02-28 20:15:00,2
2019-02-28 20:26:00,1
2019-02-28 20:27:00,1
2019-02-28 20:29:00,3
