90,select objid from photoprimary where photoprimary.dec between -.# and -.# and photoprimary.ra between # and #
2019-02-28 03:23:00,3
2019-02-28 03:36:00,2
2019-02-28 07:34:00,6
2019-02-28 07:35:00,1
2019-02-28 12:15:00,11
2019-02-28 12:17:00,11
2019-02-28 12:18:00,1
2019-02-28 12:21:00,1
2019-02-28 12:23:00,2
2019-02-28 12:25:00,4
2019-02-28 12:28:00,1
2019-02-28 12:29:00,1
2019-02-28 12:38:00,2
2019-02-28 12:40:00,4
2019-02-28 13:27:00,1
2019-02-28 14:39:00,1
2019-02-28 18:34:00,2
2019-02-28 18:44:00,2
2019-02-28 21:29:00,4
2019-02-28 21:30:00,3
2019-02-28 23:24:00,11
2019-02-28 23:25:00,6
2019-02-28 23:26:00,6
2019-02-28 23:27:00,4
