157,"SELECT  p.specobjId, so.bestobjId, p.type,  sp.ra, sp.dec, sp.z as redshift,  sp.modelMag_g as g, sp.modelMagerr_g as err_g,   sp.modelMag_i as i, sp.modelMagerr_i as err_i,  gs.h_alpha_eqw, gs.oii_#_eqw,   p.aperFlux7_g, p.aperFlux7Ivar_g as var_g,  p.aperFlux7_i, p.aperFlux7Ivar_i as var_i    FROM GalSpecLine AS gs   JOIN SpecPhoto AS sp ON sp.specobjid = gs.specobjid   JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS GN  ON GN.specobjID = gs.specobjid  JOIN Galaxy as gal ON gal.specobjId = gs.specobjid  JOIN PhotoObj as p ON p.specObjId = gs.specobjID  JOIN SpecObjAll as so ON so.specObjId = gs.specObjID    WHERE   h_alpha_eqw between # and #   and oii_#_eqw between # and #   and sp.modelMag_g-sp.modelMag_i between # and #   and sp.z between # and #   and sp.modelMag_i-#*log1#(#E+#*sp.z) < #"
2019-02-28 17:46:00,1
2019-02-28 17:48:00,1
2019-02-28 17:51:00,1
2019-02-28 17:52:00,1
2019-02-28 17:53:00,1
2019-02-28 17:54:00,1
2019-02-28 17:55:00,1
2019-02-28 17:56:00,1
2019-02-28 20:16:00,1
2019-02-28 20:17:00,1
2019-02-28 20:18:00,2
2019-02-28 20:19:00,1
2019-02-28 20:20:00,1
2019-02-28 20:23:00,1
2019-02-28 20:24:00,1
2019-02-28 20:27:00,1
2019-02-28 20:28:00,1
2019-02-28 20:29:00,1
2019-02-28 20:30:00,1
2019-02-28 20:33:00,3
2019-02-28 20:38:00,1
2019-02-28 20:39:00,1
2019-02-28 20:40:00,1
2019-02-28 20:42:00,1
2019-02-28 20:47:00,1
2019-02-28 20:50:00,1
2019-02-28 20:52:00,1
2019-02-28 20:53:00,1
2019-02-28 20:54:00,1
2019-02-28 20:56:00,1
2019-02-28 20:58:00,1
2019-02-28 20:59:00,2
2019-02-28 21:00:00,3
2019-02-28 21:01:00,2
2019-02-28 21:02:00,2
2019-02-28 21:03:00,2
2019-02-28 21:04:00,1
2019-02-28 21:05:00,2
2019-02-28 21:06:00,1
2019-02-28 21:07:00,1
2019-02-28 21:08:00,1
2019-02-28 21:10:00,1
2019-02-28 21:11:00,1
2019-02-28 21:12:00,2
2019-02-28 21:13:00,1
2019-02-28 21:14:00,1
2019-02-28 21:15:00,2
2019-02-28 21:16:00,2
2019-02-28 21:17:00,1
2019-02-28 21:18:00,3
2019-02-28 21:19:00,3
2019-02-28 21:20:00,1
2019-02-28 21:21:00,2
2019-02-28 21:22:00,2
2019-02-28 21:23:00,1
2019-02-28 21:24:00,1
2019-02-28 21:25:00,1
2019-02-28 21:26:00,1
2019-02-28 21:27:00,2
2019-02-28 21:28:00,2
2019-02-28 21:29:00,1
2019-02-28 21:32:00,2
2019-02-28 21:33:00,2
2019-02-28 21:34:00,1
2019-02-28 21:35:00,2
2019-02-28 21:36:00,1
2019-02-28 21:37:00,1
2019-02-28 21:39:00,2
2019-02-28 21:41:00,1
2019-02-28 21:43:00,1
2019-02-28 21:44:00,2
2019-02-28 21:45:00,2
2019-02-28 21:46:00,2
2019-02-28 21:47:00,2
2019-02-28 21:50:00,2
2019-02-28 21:51:00,1
2019-02-28 21:53:00,2
2019-02-28 21:54:00,1
2019-02-28 21:55:00,1
2019-02-28 21:56:00,1
2019-02-28 21:57:00,1
2019-02-28 21:58:00,2
2019-02-28 21:59:00,2
2019-02-28 22:00:00,2
2019-02-28 22:01:00,3
2019-02-28 22:02:00,2
2019-02-28 22:03:00,2
2019-02-28 22:04:00,2
2019-02-28 22:05:00,1
2019-02-28 22:06:00,1
2019-02-28 22:07:00,1
2019-02-28 22:08:00,1
2019-02-28 22:09:00,1
2019-02-28 22:10:00,2
2019-02-28 22:11:00,2
2019-02-28 22:12:00,1
2019-02-28 22:16:00,2
2019-02-28 22:17:00,1
2019-02-28 22:18:00,2
2019-02-28 22:19:00,1
2019-02-28 22:20:00,2
2019-02-28 22:22:00,1
2019-02-28 22:23:00,1
2019-02-28 22:25:00,1
2019-02-28 22:26:00,1
2019-02-28 22:27:00,1
2019-02-28 22:28:00,3
2019-02-28 22:29:00,2
2019-02-28 22:30:00,2
