308,"select top # p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(#,#,#) n  where p.objId=n.objId"
2019-02-28 00:58:00,1
2019-02-28 01:36:00,1
2019-02-28 01:37:00,1
2019-02-28 01:38:00,1
2019-02-28 01:39:00,1
2019-02-28 01:40:00,1
2019-02-28 01:41:00,1
2019-02-28 01:48:00,1
2019-02-28 01:58:00,1
2019-02-28 02:28:00,1
2019-02-28 02:41:00,18
2019-02-28 02:57:00,1
2019-02-28 03:45:00,9
2019-02-28 03:57:00,1
2019-02-28 04:57:00,1
2019-02-28 05:57:00,1
2019-02-28 06:56:00,1
2019-02-28 07:05:00,9
2019-02-28 07:15:00,2
2019-02-28 07:59:00,1
2019-02-28 08:55:00,9
2019-02-28 08:59:00,1
2019-02-28 09:11:00,8
2019-02-28 09:12:00,10
2019-02-28 10:00:00,1
2019-02-28 10:49:00,6
2019-02-28 10:50:00,12
2019-02-28 10:57:00,1
2019-02-28 11:17:00,9
2019-02-28 11:57:00,1
2019-02-28 12:16:00,9
2019-02-28 12:48:00,9
2019-02-28 12:59:00,1
2019-02-28 13:49:00,8
2019-02-28 13:50:00,1
2019-02-28 13:51:00,9
2019-02-28 13:57:00,1
2019-02-28 13:58:00,9
2019-02-28 14:09:00,18
2019-02-28 14:18:00,9
2019-02-28 14:28:00,3
2019-02-28 14:29:00,24
2019-02-28 14:43:00,18
2019-02-28 14:58:00,1
2019-02-28 15:07:00,18
2019-02-28 15:24:00,16
2019-02-28 15:25:00,2
2019-02-28 15:52:00,18
2019-02-28 15:58:00,1
2019-02-28 16:24:00,9
2019-02-28 16:58:00,1
2019-02-28 17:51:00,9
2019-02-28 17:58:00,1
2019-02-28 18:58:00,1
