1201,select objid from photoprimary where photoprimary.dec between .# and .# and photoprimary.ra between # and #
2019-02-28 03:51:00,7
2019-02-28 03:52:00,1
2019-02-28 03:53:00,6
2019-02-28 04:56:00,4
2019-02-28 07:00:00,7
2019-02-28 07:08:00,5
2019-02-28 07:09:00,18
2019-02-28 07:36:00,6
2019-02-28 07:37:00,8
2019-02-28 07:43:00,10
2019-02-28 07:44:00,23
2019-02-28 07:45:00,8
2019-02-28 07:46:00,1
2019-02-28 12:15:00,14
2019-02-28 12:17:00,14
2019-02-28 12:18:00,5
2019-02-28 12:22:00,4
2019-02-28 12:23:00,2
2019-02-28 12:24:00,2
2019-02-28 12:26:00,1
2019-02-28 12:27:00,2
2019-02-28 12:28:00,1
2019-02-28 12:29:00,4
2019-02-28 12:30:00,1
2019-02-28 12:37:00,5
2019-02-28 12:38:00,1
2019-02-28 13:26:00,1
2019-02-28 13:28:00,410
2019-02-28 14:18:00,117
2019-02-28 14:19:00,327
2019-02-28 14:29:00,146
2019-02-28 14:39:00,24
2019-02-28 15:12:00,3
2019-02-28 17:48:00,2
2019-02-28 18:24:00,6
2019-02-28 18:34:00,4
2019-02-28 23:26:00,1
