16778,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between # and #
2019-02-28 00:08:00,1
2019-02-28 00:19:00,6
2019-02-28 00:20:00,4
2019-02-28 02:58:00,3
2019-02-28 03:16:00,54
2019-02-28 03:17:00,108
2019-02-28 03:18:00,52
2019-02-28 03:19:00,55
2019-02-28 03:20:00,56
2019-02-28 03:21:00,70
2019-02-28 03:22:00,74
2019-02-28 03:23:00,28
2019-02-28 03:24:00,4
2019-02-28 03:35:00,6
2019-02-28 03:36:00,41
2019-02-28 03:44:00,32
2019-02-28 03:45:00,71
2019-02-28 03:46:00,59
2019-02-28 03:47:00,61
2019-02-28 03:48:00,55
2019-02-28 03:49:00,52
2019-02-28 03:50:00,48
2019-02-28 03:51:00,34
2019-02-28 03:52:00,46
2019-02-28 03:53:00,61
2019-02-28 03:54:00,85
2019-02-28 03:55:00,72
2019-02-28 03:56:00,22
2019-02-28 03:57:00,13
2019-02-28 03:58:00,6
2019-02-28 03:59:00,2
2019-02-28 04:00:00,1
2019-02-28 04:11:00,2
2019-02-28 04:14:00,1
2019-02-28 04:15:00,3
2019-02-28 04:21:00,1
2019-02-28 04:28:00,11
2019-02-28 04:29:00,22
2019-02-28 04:30:00,1
2019-02-28 04:44:00,2
2019-02-28 04:45:00,4
2019-02-28 04:46:00,4
2019-02-28 04:51:00,6
2019-02-28 04:52:00,12
2019-02-28 04:53:00,10
2019-02-28 04:54:00,9
2019-02-28 04:55:00,40
2019-02-28 04:56:00,19
2019-02-28 04:57:00,10
2019-02-28 04:58:00,5
2019-02-28 04:59:00,7
2019-02-28 05:00:00,1
2019-02-28 05:09:00,9
2019-02-28 05:10:00,2
2019-02-28 05:25:00,2
2019-02-28 05:26:00,1
2019-02-28 05:27:00,3
2019-02-28 05:41:00,1
2019-02-28 05:42:00,3
2019-02-28 05:47:00,10
2019-02-28 06:04:00,7
2019-02-28 06:18:00,2
2019-02-28 06:20:00,1
2019-02-28 06:25:00,6
2019-02-28 06:26:00,2
2019-02-28 06:39:00,1
2019-02-28 06:41:00,2
2019-02-28 06:42:00,1
2019-02-28 06:45:00,1
2019-02-28 06:57:00,2
2019-02-28 06:59:00,28
2019-02-28 07:00:00,44
2019-02-28 07:01:00,54
2019-02-28 07:02:00,36
2019-02-28 07:03:00,63
2019-02-28 07:04:00,86
2019-02-28 07:05:00,67
2019-02-28 07:06:00,88
2019-02-28 07:07:00,102
2019-02-28 07:08:00,49
2019-02-28 07:09:00,28
2019-02-28 07:10:00,60
2019-02-28 07:11:00,46
2019-02-28 07:12:00,42
2019-02-28 07:13:00,46
2019-02-28 07:14:00,114
2019-02-28 07:15:00,170
2019-02-28 07:16:00,62
2019-02-28 07:17:00,62
2019-02-28 07:18:00,63
2019-02-28 07:19:00,98
2019-02-28 07:20:00,43
2019-02-28 07:21:00,43
2019-02-28 07:22:00,278
2019-02-28 07:23:00,30
2019-02-28 07:24:00,38
2019-02-28 07:25:00,67
2019-02-28 07:26:00,193
2019-02-28 07:27:00,36
