18,"select top # sp.objid, sp.ra, sp.dec, sp.p_el, sp.p_cw, sp.p_acw, sp.elliptical, sp.spiral, sp.nvote, xp.mE1_u, xp.mE1_g, xp.mE1_r, xp.mE1_i, xp.mE1_z, xp.mE2_u, xp.mE2_g, xp.mE2_r, xp.mE2_i, xp.mE2_z from dbo.zooSpec As sp Join dbo.Galaxy as xp On sp.objid=xp.objid where (nvote > #) and (elliptical=# or spiral=#)"
2019-05-16 09:23:00,1
2019-05-16 09:24:00,1
2019-05-16 09:25:00,2
2019-05-16 09:27:00,2
2019-05-16 09:29:00,2
2019-05-16 09:32:00,2
2019-05-16 09:33:00,1
2019-05-16 09:34:00,1
2019-05-16 09:47:00,2
2019-05-16 09:48:00,1
2019-05-16 09:49:00,1
2019-05-16 11:03:00,1
2019-05-16 11:04:00,1
