1317,"SELECT p.ra, p.dec, p.psfFlux_u, p.psfFlux_g, p.psfFlux_r, p.psfFlux_i, p.psfFlux_z, p.psfFluxIvar_u, p.psfFluxIvar_g, p.psfFluxIvar_r, p.psfFluxIvar_i, p.psfFluxIvar_z, d.w1flux, d.w2flux, d.w3flux, d.w4flux, d.w1sigflux, d.w2sigflux, d.w3sigflux, d.w4sigflux FROM PhotoObjAll AS p JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON p.objID = GN.objID LEFT JOIN WISE_xmatch as c on p.ObjID=c.sdss_objid LEFT JOIN WISE_allsky as d on c.wise_cntr=d.cntr"
2019-05-16 12:29:00,9
2019-05-16 12:30:00,13
2019-05-16 12:31:00,11
2019-05-16 12:32:00,11
2019-05-16 12:33:00,9
2019-05-16 12:34:00,9
2019-05-16 12:35:00,14
2019-05-16 12:36:00,12
2019-05-16 12:37:00,11
2019-05-16 12:38:00,15
2019-05-16 12:39:00,17
2019-05-16 12:40:00,13
2019-05-16 12:41:00,11
2019-05-16 12:42:00,12
2019-05-16 12:43:00,11
2019-05-16 12:44:00,9
2019-05-16 12:45:00,13
2019-05-16 12:46:00,12
2019-05-16 12:47:00,10
2019-05-16 12:48:00,12
2019-05-16 12:49:00,7
2019-05-16 12:50:00,11
2019-05-16 12:51:00,10
2019-05-16 12:52:00,13
2019-05-16 12:53:00,16
2019-05-16 12:54:00,9
2019-05-16 12:55:00,12
2019-05-16 12:56:00,12
2019-05-16 12:57:00,14
2019-05-16 12:58:00,12
2019-05-16 12:59:00,18
2019-05-16 13:00:00,15
2019-05-16 13:01:00,15
2019-05-16 13:02:00,16
2019-05-16 13:03:00,18
2019-05-16 13:04:00,17
2019-05-16 13:05:00,17
2019-05-16 13:06:00,16
2019-05-16 13:07:00,14
2019-05-16 13:08:00,11
2019-05-16 13:09:00,14
2019-05-16 13:10:00,13
2019-05-16 13:11:00,12
2019-05-16 13:12:00,18
2019-05-16 13:13:00,16
2019-05-16 13:14:00,12
2019-05-16 13:15:00,11
2019-05-16 13:16:00,14
2019-05-16 13:17:00,15
2019-05-16 13:18:00,15
2019-05-16 13:19:00,14
2019-05-16 13:20:00,14
2019-05-16 13:21:00,13
2019-05-16 13:22:00,14
2019-05-16 13:23:00,14
2019-05-16 13:24:00,16
2019-05-16 13:25:00,16
2019-05-16 13:26:00,14
2019-05-16 13:27:00,14
2019-05-16 13:28:00,14
2019-05-16 13:29:00,16
2019-05-16 13:30:00,12
2019-05-16 13:31:00,12
2019-05-16 13:32:00,14
2019-05-16 13:33:00,12
2019-05-16 13:34:00,18
2019-05-16 13:35:00,15
2019-05-16 13:36:00,17
2019-05-16 13:37:00,15
2019-05-16 13:38:00,15
2019-05-16 13:39:00,16
2019-05-16 13:40:00,16
2019-05-16 13:41:00,13
2019-05-16 13:42:00,17
2019-05-16 13:43:00,14
2019-05-16 13:44:00,13
2019-05-16 13:45:00,14
2019-05-16 13:46:00,12
2019-05-16 13:47:00,12
2019-05-16 13:48:00,12
2019-05-16 13:49:00,12
2019-05-16 13:50:00,15
2019-05-16 13:51:00,14
2019-05-16 13:52:00,14
2019-05-16 13:53:00,15
2019-05-16 13:54:00,14
2019-05-16 13:55:00,15
2019-05-16 13:56:00,16
2019-05-16 13:57:00,15
2019-05-16 13:58:00,14
2019-05-16 13:59:00,17
2019-05-16 14:00:00,16
2019-05-16 14:01:00,15
2019-05-16 14:02:00,16
2019-05-16 14:03:00,16
2019-05-16 14:04:00,15
2019-05-16 14:05:00,3
