23,select top # * from galaxy
2019-05-16 00:19:00,1
2019-05-16 00:55:00,1
2019-05-16 02:02:00,1
2019-05-16 04:22:00,1
2019-05-16 04:37:00,1
2019-05-16 06:30:00,1
2019-05-16 06:45:00,1
2019-05-16 07:37:00,1
2019-05-16 10:11:00,1
2019-05-16 13:48:00,1
2019-05-16 13:52:00,1
2019-05-16 14:04:00,1
2019-05-16 15:22:00,1
2019-05-16 15:36:00,1
2019-05-16 16:59:00,1
2019-05-16 17:06:00,1
2019-05-16 17:18:00,1
2019-05-16 17:30:00,1
2019-05-16 17:32:00,1
2019-05-16 18:54:00,1
2019-05-16 20:41:00,1
2019-05-16 20:58:00,1
2019-05-16 22:22:00,1
