18,"SELECT TOP #  cast(str(p.ra,#,#) as float) as ra,cast(str(p.[dec],#,#) as float) as dec,p.dered_g,p.dered_i,p.dered_r,p.dered_u,p.dered_z  FROM ..PhotoObj AS p  JOIN dbo.fGetNearbyObjEq(#,#,#) AS b ON b.objID = P.objID  WHERE ( p.type = #)"
2019-05-16 10:26:00,1
2019-05-16 10:27:00,1
2019-05-16 10:59:00,1
2019-05-16 11:27:00,1
2019-05-16 11:49:00,1
2019-05-16 11:50:00,2
2019-05-16 13:50:00,1
2019-05-16 13:51:00,2
2019-05-16 14:07:00,1
2019-05-16 14:33:00,2
2019-05-16 14:36:00,1
2019-05-16 14:54:00,1
2019-05-16 15:04:00,1
2019-05-16 15:22:00,1
2019-05-16 15:37:00,1
