1317,"SELECT p.ra, p.dec, p.modelFlux_u, p.modelFlux_g, p.modelFlux_r, p.modelFlux_i, p.modelFlux_z, p.modelFluxIvar_u, p.modelFluxIvar_g, p.modelFluxIvar_r, p.modelFluxIvar_i, p.modelFluxIvar_z, d.w1flux, d.w2flux, d.w3flux, d.w4flux, d.w1sigflux, d.w2sigflux, d.w3sigflux, d.w4sigflux FROM PhotoObjAll AS p JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON p.objID = GN.objID LEFT JOIN WISE_xmatch as c on p.ObjID=c.sdss_objid LEFT JOIN WISE_allsky as d on c.wise_cntr=d.cntr"
2019-05-16 14:08:00,11
2019-05-16 14:09:00,11
2019-05-16 14:10:00,10
2019-05-16 14:11:00,6
2019-05-16 14:12:00,10
2019-05-16 14:13:00,9
2019-05-16 14:14:00,11
2019-05-16 14:15:00,10
2019-05-16 14:16:00,12
2019-05-16 14:17:00,6
2019-05-16 14:18:00,11
2019-05-16 14:19:00,12
2019-05-16 14:20:00,13
2019-05-16 14:21:00,11
2019-05-16 14:22:00,10
2019-05-16 14:23:00,13
2019-05-16 14:24:00,10
2019-05-16 14:25:00,12
2019-05-16 14:26:00,15
2019-05-16 14:27:00,11
2019-05-16 14:28:00,11
2019-05-16 14:29:00,13
2019-05-16 14:30:00,9
2019-05-16 14:31:00,12
2019-05-16 14:32:00,10
2019-05-16 14:33:00,11
2019-05-16 14:34:00,13
2019-05-16 14:35:00,10
2019-05-16 14:36:00,14
2019-05-16 14:37:00,12
2019-05-16 14:38:00,11
2019-05-16 14:39:00,13
2019-05-16 14:40:00,17
2019-05-16 14:41:00,16
2019-05-16 14:42:00,12
2019-05-16 14:43:00,17
2019-05-16 14:44:00,20
2019-05-16 14:45:00,20
2019-05-16 14:46:00,18
2019-05-16 14:47:00,19
2019-05-16 14:48:00,17
2019-05-16 14:49:00,17
2019-05-16 14:50:00,20
2019-05-16 14:51:00,17
2019-05-16 14:52:00,18
2019-05-16 14:53:00,19
2019-05-16 14:54:00,16
2019-05-16 14:55:00,16
2019-05-16 14:56:00,20
2019-05-16 14:57:00,18
2019-05-16 14:58:00,18
2019-05-16 14:59:00,18
2019-05-16 15:00:00,19
2019-05-16 15:01:00,17
2019-05-16 15:02:00,20
2019-05-16 15:03:00,16
2019-05-16 15:04:00,19
2019-05-16 15:05:00,20
2019-05-16 15:06:00,17
2019-05-16 15:07:00,21
2019-05-16 15:08:00,18
2019-05-16 15:09:00,20
2019-05-16 15:10:00,20
2019-05-16 15:11:00,18
2019-05-16 15:12:00,19
2019-05-16 15:13:00,19
2019-05-16 15:14:00,18
2019-05-16 15:15:00,19
2019-05-16 15:16:00,18
2019-05-16 15:17:00,21
2019-05-16 15:18:00,18
2019-05-16 15:19:00,21
2019-05-16 15:20:00,19
2019-05-16 15:21:00,21
2019-05-16 15:22:00,20
2019-05-16 15:23:00,19
2019-05-16 15:24:00,20
2019-05-16 15:25:00,18
2019-05-16 15:26:00,19
2019-05-16 15:27:00,21
2019-05-16 15:28:00,19
2019-05-16 15:29:00,20
2019-05-16 15:30:00,18
2019-05-16 15:31:00,19
