31,select count(*) as thecount
2019-05-16 08:47:00,1
2019-05-16 09:53:00,1
2019-05-16 10:08:00,1
2019-05-16 10:15:00,1
2019-05-16 10:25:00,1
2019-05-16 10:27:00,1
2019-05-16 12:43:00,1
2019-05-16 12:47:00,1
2019-05-16 12:55:00,1
2019-05-16 12:56:00,1
2019-05-16 13:00:00,1
2019-05-16 13:04:00,1
2019-05-16 13:33:00,1
2019-05-16 14:01:00,1
2019-05-16 14:03:00,1
2019-05-16 14:23:00,1
2019-05-16 14:37:00,1
2019-05-16 14:44:00,1
2019-05-16 14:57:00,1
2019-05-16 15:02:00,1
2019-05-16 15:06:00,1
2019-05-16 15:21:00,2
2019-05-16 15:55:00,1
2019-05-16 16:12:00,1
2019-05-16 16:35:00,2
2019-05-16 19:20:00,1
2019-05-16 19:26:00,1
2019-05-16 19:31:00,1
2019-05-16 19:33:00,1
