57,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-05-16 03:20:00,1
2019-05-16 03:21:00,2
2019-05-16 03:28:00,1
2019-05-16 03:47:00,1
2019-05-16 04:35:00,1
2019-05-16 05:17:00,4
2019-05-16 05:18:00,6
2019-05-16 06:04:00,2
2019-05-16 06:05:00,2
2019-05-16 08:12:00,2
2019-05-16 08:25:00,1
2019-05-16 12:00:00,1
2019-05-16 12:41:00,1
2019-05-16 13:38:00,3
2019-05-16 13:39:00,5
2019-05-16 13:40:00,2
2019-05-16 14:03:00,1
2019-05-16 14:04:00,2
2019-05-16 15:07:00,1
2019-05-16 15:08:00,2
2019-05-16 15:28:00,10
2019-05-16 16:13:00,2
2019-05-16 17:23:00,1
2019-05-16 18:52:00,1
2019-05-16 19:30:00,2
