2,"SELECT   p.objid, p.ra,  p.dec, s.plate, s.mjd, s.fiberid, s.specobjid,    p.extinction_u, p.extinction_g, p.extinction_r, p.extinction_i, p.extinction_z,   dbo.fPhotoDescription(p.objid), dbo.fPhotoFlags(&&&) FROM PhotoObjAll as p   JOIN SpecObj as s ON s.bestobjid = p.objid WHERE   s.specobjid = # OR s.specobjid = #"
2019-05-16 05:32:00,1
2019-05-16 05:33:00,1
