754,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-16 12:31:00,27
2019-05-16 12:35:00,24
2019-05-16 12:38:00,12
2019-05-16 12:39:00,15
2019-05-16 12:41:00,24
2019-05-16 12:42:00,25
2019-05-16 12:43:00,37
2019-05-16 12:45:00,21
2019-05-16 12:47:00,31
2019-05-16 12:49:00,91
2019-05-16 12:50:00,12
2019-05-16 12:51:00,13
2019-05-16 12:54:00,20
2019-05-16 12:55:00,20
2019-05-16 12:56:00,32
2019-05-16 12:57:00,34
2019-05-16 12:59:00,59
2019-05-16 13:00:00,45
2019-05-16 13:01:00,3
2019-05-16 13:07:00,11
2019-05-16 13:08:00,25
2019-05-16 13:09:00,18
2019-05-16 13:10:00,10
2019-05-16 13:11:00,37
2019-05-16 13:12:00,14
2019-05-16 13:13:00,14
2019-05-16 13:18:00,14
2019-05-16 13:19:00,9
2019-05-16 13:20:00,33
2019-05-16 13:23:00,24
