24,"SELECT TOP # objID, ra, dec, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, clean FROM StarTag WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND modelMag_r BETWEEN # AND # AND clean = #"
2019-01-12 17:55:00,1
2019-01-12 17:57:00,1
2019-01-12 18:01:00,1
2019-01-12 18:02:00,1
2019-01-12 18:07:00,1
2019-01-12 18:11:00,1
2019-01-12 18:13:00,1
2019-01-12 18:14:00,1
2019-01-12 18:15:00,1
2019-01-12 18:16:00,1
2019-01-12 18:17:00,2
2019-01-12 18:18:00,1
2019-01-12 18:22:00,1
2019-01-12 18:24:00,2
2019-01-12 18:25:00,1
2019-01-12 18:27:00,1
2019-01-12 18:28:00,2
2019-01-12 18:29:00,1
2019-01-12 18:30:00,2
2019-01-12 18:33:00,1
