29,"select    id, s.specObjID, plate, mjd, fiberid, ra, dec, z, bestobjid   from MyDB.temp as t   left join SpecObjAll as s on s.specobjid=t.specobjid    order by id"
2019-07-28 01:49:00,1
2019-07-28 01:53:00,1
2019-07-28 01:54:00,1
2019-07-28 01:55:00,1
2019-07-28 01:57:00,1
2019-07-28 02:00:00,1
2019-07-28 02:02:00,3
2019-07-28 02:03:00,1
2019-07-28 02:05:00,2
2019-07-28 02:06:00,1
2019-07-28 02:07:00,2
2019-07-28 02:08:00,1
2019-07-28 02:10:00,1
2019-07-28 02:12:00,1
2019-07-28 02:13:00,1
2019-07-28 02:16:00,1
2019-07-28 02:17:00,3
2019-07-28 02:18:00,2
2019-07-28 02:20:00,1
2019-07-28 02:21:00,1
2019-07-28 02:24:00,1
2019-07-28 03:16:00,1
