2,"select spec.plate, spec.mjd, spec.fiberid, spec.z, photo.modelMag_g, photo.modelMag_r into mydb.MyTable_# from specobj as spec   join photoobj as photo on ((spec.specobjid = photo.specobjid))  where spec.z < # and spec.class = &&&"
2019-09-25 06:53:00,1
2019-09-25 06:54:00,1
