3,"select p.g, p.r  from star p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid and (p.u BETWEEN # AND #)  and (p.g BETWEEN # AND #)  and (p.r BETWEEN # AND #)"
2019-09-25 07:30:00,2
2019-09-25 07:32:00,1
