2816,"SELECT DISTINCT p.objID, p.parentID, p.specObjID, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.cmodelMag_u, p.cmodelMag_g, p.cmodelMag_r, p.cmodelMag_i, p.cmodelMag_z, p.cmodelMagErr_u, p.cmodelMagErr_g, p.cmodelMagErr_r, p.cmodelMagErr_i, p.cmodelMagErr_z, p.extinction_u, p.extinction_g, p.extinction_r, p.extinction_i, p.extinction_z, p.flags FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-09-25 15:58:00,1
2019-09-25 16:08:00,1
2019-09-25 16:09:00,466
2019-09-25 16:10:00,91
2019-09-25 16:55:00,2
2019-09-25 16:59:00,135
2019-09-25 17:12:00,1
2019-09-25 17:13:00,58
2019-09-25 17:14:00,543
2019-09-25 17:15:00,564
2019-09-25 17:16:00,575
2019-09-25 17:17:00,379
