6,"SELECT  objid ,ra ,dec ,u,g,i,r,z FROM galaxy AS g WHERE  r < # AND ra BETWEEN # AND # AND dec between # and #"
2019-09-25 15:21:00,1
2019-09-25 15:22:00,1
2019-09-25 15:24:00,2
2019-09-25 15:30:00,1
2019-09-25 15:31:00,1
