624,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-09-25 05:00:00,6
2019-09-25 05:01:00,13
2019-09-25 05:02:00,12
2019-09-25 05:03:00,9
2019-09-25 05:04:00,9
2019-09-25 05:05:00,9
2019-09-25 05:06:00,9
2019-09-25 05:07:00,9
2019-09-25 05:08:00,5
2019-09-25 05:10:00,3
2019-09-25 05:11:00,2
2019-09-25 06:12:00,2
2019-09-25 06:13:00,3
2019-09-25 06:14:00,2
2019-09-25 06:15:00,3
2019-09-25 06:16:00,3
2019-09-25 06:17:00,2
2019-09-25 06:18:00,3
2019-09-25 06:19:00,2
2019-09-25 06:20:00,3
2019-09-25 06:21:00,3
2019-09-25 06:22:00,2
2019-09-25 06:23:00,3
2019-09-25 06:24:00,2
2019-09-25 06:25:00,3
2019-09-25 06:26:00,2
2019-09-25 06:27:00,3
2019-09-25 06:28:00,2
2019-09-25 06:29:00,3
2019-09-25 06:30:00,3
2019-09-25 06:31:00,2
2019-09-25 06:32:00,3
2019-09-25 12:51:00,40
2019-09-25 12:52:00,80
2019-09-25 12:53:00,109
2019-09-25 12:54:00,11
2019-09-25 13:15:00,15
2019-09-25 13:16:00,109
2019-09-25 13:17:00,108
2019-09-25 13:18:00,12
