10,"SELECT TOP #    p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,     s.z as redshift  FROM PhotoObj AS p   JOIN SpecObj AS s ON s.bestobjid = p.objid    WHERE    s.z < # and   p.dec between # and # and    p.ra between # and #"
2019-09-25 11:30:00,1
2019-09-25 11:31:00,1
2019-09-25 11:32:00,2
2019-09-25 11:33:00,2
2019-09-25 11:34:00,1
2019-09-25 11:35:00,1
2019-09-25 11:36:00,2
