50,"SELECT TOP # p.objid,  p.type, p.ra, p.dec, p.g, distance  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID order by distance"
2019-09-25 13:16:00,1
2019-09-25 13:17:00,1
2019-09-25 13:22:00,1
2019-09-25 13:23:00,1
2019-09-25 13:24:00,2
2019-09-25 13:25:00,1
2019-09-25 13:26:00,1
2019-09-25 13:27:00,2
2019-09-25 13:28:00,1
2019-09-25 13:29:00,1
2019-09-25 13:30:00,2
2019-09-25 13:32:00,1
2019-09-25 13:33:00,1
2019-09-25 13:34:00,2
2019-09-25 13:35:00,1
2019-09-25 13:36:00,1
2019-09-25 13:37:00,1
2019-09-25 13:38:00,2
2019-09-25 13:39:00,1
2019-09-25 13:40:00,2
2019-09-25 13:41:00,1
2019-09-25 13:42:00,1
2019-09-25 13:43:00,2
2019-09-25 13:44:00,1
2019-09-25 13:45:00,2
2019-09-25 13:46:00,1
2019-09-25 13:47:00,1
2019-09-25 13:48:00,1
2019-09-25 13:49:00,2
2019-09-25 13:50:00,1
2019-09-25 13:51:00,1
2019-09-25 13:52:00,2
2019-09-25 13:53:00,1
2019-09-25 13:54:00,2
2019-09-25 13:55:00,1
2019-09-25 13:56:00,1
2019-09-25 13:57:00,2
2019-09-25 13:58:00,1
