28,select count(*) as thecount
2019-09-25 08:47:00,2
2019-09-25 08:48:00,1
2019-09-25 09:17:00,1
2019-09-25 09:44:00,1
2019-09-25 09:46:00,1
2019-09-25 10:13:00,1
2019-09-25 10:15:00,1
2019-09-25 11:16:00,1
2019-09-25 11:17:00,1
2019-09-25 11:54:00,1
2019-09-25 11:55:00,1
2019-09-25 12:09:00,1
2019-09-25 12:10:00,1
2019-09-25 12:45:00,2
2019-09-25 12:46:00,1
2019-09-25 13:05:00,1
2019-09-25 14:08:00,1
2019-09-25 14:10:00,1
2019-09-25 14:55:00,1
2019-09-25 14:56:00,1
2019-09-25 16:42:00,2
2019-09-25 17:13:00,2
2019-09-25 18:21:00,1
2019-09-25 18:22:00,1
