669,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.raErr, p.decErr, p.psfMag_u,p.psfMag_g,p.psfMag_r,p.psfMag_i,p.psfMag_z, p.psfMagErr_u,p.psfMagErr_g,p.psfMagErr_r,p.psfMagErr_i,p.psfMagErr_z, p.petroR5#_u,p.petroR5#_g,p.petroR5#_r,p.petroR5#_i,p.petroR5#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMagErr_u,p.modelMagErr_g,p.modelMagErr_r,p.modelMagErr_i,p.modelMagErr_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq(#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-09-25 14:10:00,1
2019-09-25 14:12:00,1
2019-09-25 14:13:00,2
2019-09-25 14:14:00,2
2019-09-25 14:15:00,4
2019-09-25 14:16:00,4
2019-09-25 14:17:00,3
2019-09-25 14:18:00,3
2019-09-25 14:19:00,6
2019-09-25 14:20:00,5
2019-09-25 14:21:00,5
2019-09-25 14:22:00,7
2019-09-25 14:23:00,5
2019-09-25 14:24:00,7
2019-09-25 14:25:00,6
2019-09-25 14:26:00,5
2019-09-25 14:27:00,7
2019-09-25 14:28:00,7
2019-09-25 14:29:00,5
2019-09-25 14:30:00,6
2019-09-25 14:31:00,5
2019-09-25 14:32:00,4
2019-09-25 14:33:00,6
2019-09-25 14:34:00,7
2019-09-25 14:35:00,6
2019-09-25 14:36:00,6
2019-09-25 14:37:00,7
2019-09-25 14:38:00,6
2019-09-25 14:39:00,6
2019-09-25 14:40:00,5
2019-09-25 14:41:00,5
2019-09-25 14:52:00,7
2019-09-25 14:53:00,7
2019-09-25 14:54:00,6
2019-09-25 14:55:00,7
2019-09-25 14:56:00,5
2019-09-25 14:57:00,7
2019-09-25 14:58:00,6
2019-09-25 14:59:00,6
2019-09-25 15:00:00,5
2019-09-25 15:01:00,6
2019-09-25 15:02:00,4
2019-09-25 15:03:00,5
2019-09-25 15:04:00,6
2019-09-25 15:05:00,6
2019-09-25 15:06:00,4
2019-09-25 15:10:00,1
2019-09-25 15:20:00,1
2019-09-25 15:25:00,3
2019-09-25 15:26:00,4
2019-09-25 15:27:00,4
2019-09-25 15:28:00,5
2019-09-25 15:29:00,2
2019-09-25 15:30:00,4
2019-09-25 15:32:00,4
2019-09-25 15:33:00,2
2019-09-25 15:34:00,4
2019-09-25 15:35:00,4
2019-09-25 15:36:00,3
2019-09-25 15:37:00,3
2019-09-25 15:38:00,3
2019-09-25 15:39:00,4
2019-09-25 15:40:00,2
2019-09-25 15:42:00,3
2019-09-25 15:43:00,3
2019-09-25 15:44:00,4
2019-09-25 15:45:00,5
2019-09-25 15:46:00,6
2019-09-25 15:47:00,5
2019-09-25 15:48:00,6
2019-09-25 15:49:00,7
2019-09-25 15:50:00,6
2019-09-25 15:51:00,6
2019-09-25 15:52:00,6
2019-09-25 15:53:00,7
2019-09-25 15:54:00,6
2019-09-25 15:55:00,7
2019-09-25 15:56:00,6
2019-09-25 15:57:00,5
2019-09-25 15:58:00,6
2019-09-25 15:59:00,7
2019-09-25 16:00:00,6
2019-09-25 16:01:00,6
2019-09-25 16:02:00,6
2019-09-25 16:03:00,6
2019-09-25 16:04:00,7
2019-09-25 16:05:00,6
2019-09-25 16:06:00,4
2019-09-25 16:07:00,5
2019-09-25 16:08:00,7
2019-09-25 16:09:00,5
2019-09-25 16:10:00,5
2019-09-25 16:11:00,4
2019-09-25 16:12:00,6
2019-09-25 16:13:00,5
2019-09-25 16:14:00,4
2019-09-25 16:15:00,6
2019-09-25 16:16:00,6
2019-09-25 16:17:00,4
2019-09-25 16:18:00,1
2019-09-25 16:19:00,7
2019-09-25 16:20:00,4
2019-09-25 16:21:00,2
2019-09-25 16:22:00,3
2019-09-25 16:23:00,4
2019-09-25 16:24:00,6
2019-09-25 16:25:00,6
2019-09-25 16:26:00,5
2019-09-25 16:27:00,3
2019-09-25 16:28:00,1
2019-09-25 16:29:00,4
2019-09-25 16:30:00,5
2019-09-25 16:31:00,5
2019-09-25 16:32:00,6
2019-09-25 16:33:00,1
2019-09-25 16:34:00,7
2019-09-25 16:35:00,7
2019-09-25 16:36:00,6
2019-09-25 16:37:00,6
2019-09-25 16:38:00,7
2019-09-25 16:39:00,5
2019-09-25 16:40:00,3
2019-09-25 16:41:00,3
2019-09-25 16:42:00,5
2019-09-25 16:43:00,4
2019-09-25 16:44:00,6
2019-09-25 16:45:00,7
2019-09-25 16:46:00,5
2019-09-25 16:47:00,5
2019-09-25 16:48:00,6
2019-09-25 16:49:00,7
2019-09-25 16:50:00,3
2019-09-25 20:21:00,1
2019-09-25 20:26:00,1
2019-09-25 20:52:00,1
2019-09-25 21:32:00,1
2019-09-25 21:33:00,2
2019-09-25 21:34:00,3
2019-09-25 21:35:00,3
2019-09-25 21:36:00,3
2019-09-25 21:37:00,2
2019-09-25 21:38:00,2
2019-09-25 21:39:00,2
