22,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.specClass, s.z,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.z<=# and s.specClass=# and p.ra between # and # and p.dec between # and #"
2019-09-25 00:19:00,3
2019-09-25 00:20:00,3
2019-09-25 10:15:00,1
2019-09-25 10:17:00,1
2019-09-25 10:20:00,1
2019-09-25 15:12:00,1
2019-09-25 15:13:00,1
2019-09-25 15:14:00,1
2019-09-25 15:15:00,1
2019-09-25 15:18:00,2
2019-09-25 15:19:00,3
2019-09-25 15:20:00,1
2019-09-25 15:26:00,1
2019-09-25 15:27:00,1
2019-09-25 15:28:00,1
