4,"SELECT P.objID, P.ra, P.dec, S.SpecObjId,S.ra, S.dec into mydb.MyTable from PhotoObj AS P LEFT OUTER JOIN SpecObjAll AS S   ON P.objID = s.BestObjID"
2019-09-25 01:10:00,1
2019-09-25 01:14:00,1
2019-09-25 01:17:00,2
