9,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,s.z AS redshift FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.ra BETWEEN # AND #  AND p.dec BETWEEN # AND #  AND s.z<#"
2019-09-25 13:10:00,1
2019-09-25 13:15:00,2
2019-09-25 13:16:00,1
2019-09-25 13:17:00,2
2019-09-25 13:18:00,1
2019-09-25 13:19:00,1
2019-09-25 13:27:00,1
