204,"select p.run, p.camcol, p.field from STAR as p   inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-11-11 09:30:00,2
2019-11-11 09:32:00,2
2019-11-11 09:33:00,2
2019-11-11 09:34:00,2
2019-11-11 10:04:00,2
2019-11-11 10:06:00,2
2019-11-11 10:08:00,2
2019-11-11 10:10:00,2
2019-11-11 11:47:00,2
2019-11-11 11:51:00,2
2019-11-11 11:54:00,2
2019-11-11 11:58:00,2
2019-11-11 12:27:00,2
2019-11-11 12:31:00,2
2019-11-11 12:35:00,2
2019-11-11 12:39:00,2
2019-11-11 12:50:00,2
2019-11-11 12:54:00,2
2019-11-11 13:01:00,2
2019-11-11 13:04:00,2
2019-11-11 13:08:00,4
2019-11-11 13:11:00,2
2019-11-11 13:12:00,2
2019-11-11 13:14:00,2
2019-11-11 13:16:00,2
2019-11-11 13:17:00,2
2019-11-11 13:20:00,2
2019-11-11 13:21:00,2
2019-11-11 13:32:00,2
2019-11-11 13:48:00,2
2019-11-11 13:49:00,2
2019-11-11 13:50:00,2
2019-11-11 13:51:00,2
2019-11-11 13:58:00,2
2019-11-11 14:01:00,2
2019-11-11 14:05:00,2
2019-11-11 14:09:00,2
2019-11-11 14:38:00,2
2019-11-11 14:40:00,2
2019-11-11 14:43:00,2
2019-11-11 14:45:00,2
2019-11-11 15:03:00,2
2019-11-11 15:04:00,2
2019-11-11 15:05:00,2
2019-11-11 15:06:00,2
2019-11-11 15:09:00,2
2019-11-11 15:13:00,2
2019-11-11 15:15:00,2
2019-11-11 15:17:00,4
2019-11-11 15:21:00,2
2019-11-11 15:51:00,2
2019-11-11 15:56:00,2
2019-11-11 16:00:00,2
2019-11-11 16:04:00,2
2019-11-11 16:20:00,2
2019-11-11 16:23:00,2
2019-11-11 16:35:00,2
2019-11-11 16:39:00,2
2019-11-11 16:43:00,1
2019-11-11 16:44:00,1
2019-11-11 16:48:00,2
2019-11-11 17:19:00,2
2019-11-11 17:24:00,2
2019-11-11 17:28:00,2
2019-11-11 17:32:00,2
2019-11-11 18:03:00,2
2019-11-11 18:08:00,2
2019-11-11 18:12:00,2
2019-11-11 18:16:00,2
2019-11-11 18:48:00,2
2019-11-11 18:52:00,2
2019-11-11 18:56:00,2
2019-11-11 19:00:00,2
2019-11-11 19:31:00,2
2019-11-11 19:34:00,2
2019-11-11 19:38:00,2
2019-11-11 19:42:00,2
2019-11-11 20:12:00,2
2019-11-11 20:15:00,2
2019-11-11 20:19:00,2
2019-11-11 20:23:00,2
2019-11-11 20:54:00,2
2019-11-11 20:57:00,2
2019-11-11 21:01:00,2
2019-11-11 21:05:00,2
2019-11-11 21:36:00,2
2019-11-11 21:39:00,2
2019-11-11 21:43:00,2
2019-11-11 21:47:00,2
2019-11-11 22:16:00,2
2019-11-11 22:20:00,2
2019-11-11 22:24:00,2
2019-11-11 22:28:00,2
2019-11-11 22:57:00,2
2019-11-11 23:01:00,2
2019-11-11 23:05:00,2
2019-11-11 23:08:00,2
2019-11-11 23:39:00,2
2019-11-11 23:42:00,2
2019-11-11 23:46:00,2
2019-11-11 23:49:00,2
