510,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  f.z as photoz, f.zErr as photoZerr, GN.distance,  s.specobjid, s.class, s.z as redshift, s.zErr as errredshift, s.plate, s.mjd, s.fiberid  FROM PhotoObj AS p  JOIN dbo.fGetNearbyObjEq(#,#, #) AS GN on p.objid = GN.objid   join Photoz as f ON f.objid = GN.objid   LEFT OUTER JOIN SpecObj AS s ON s.bestobjid = GN.objid"
2019-11-11 13:32:00,17
2019-11-11 13:34:00,17
2019-11-11 13:36:00,17
2019-11-11 13:38:00,4
2019-11-11 13:39:00,13
2019-11-11 16:17:00,17
2019-11-11 16:19:00,17
2019-11-11 16:21:00,17
2019-11-11 16:23:00,17
2019-11-11 16:24:00,17
2019-11-11 16:25:00,17
2019-11-11 16:28:00,17
2019-11-11 16:30:00,17
2019-11-11 16:31:00,15
2019-11-11 16:32:00,2
2019-11-11 16:37:00,23
2019-11-11 16:38:00,11
2019-11-11 16:43:00,17
2019-11-11 16:48:00,14
2019-11-11 16:49:00,17
2019-11-11 16:50:00,3
2019-11-11 16:52:00,17
2019-11-11 16:53:00,10
2019-11-11 16:54:00,7
2019-11-11 16:55:00,17
2019-11-11 16:58:00,17
2019-11-11 17:08:00,17
2019-11-11 17:20:00,17
2019-11-11 17:21:00,17
2019-11-11 17:27:00,1
2019-11-11 17:28:00,16
2019-11-11 17:31:00,11
2019-11-11 17:32:00,6
2019-11-11 17:33:00,8
2019-11-11 17:34:00,9
2019-11-11 17:52:00,17
2019-11-11 17:53:00,17
