132,"SELECT s.ra, s.dec, s.plate, s.mjd, s.fiberid, s.z, s.zerr, s.class, s.subclass, s.tfile, s.snmedian FROM SpecObj as s WHERE s.specObjID = dbo.fGetNearestSpecObjIdEq(#,#,#) AND s.zWarning = # AND s.class = &&&"
2019-11-11 20:12:00,2
2019-11-11 20:13:00,11
2019-11-11 20:30:00,1
2019-11-11 20:31:00,4
2019-11-11 20:32:00,5
2019-11-11 20:36:00,7
2019-11-11 20:37:00,3
2019-11-11 20:38:00,11
2019-11-11 20:39:00,1
2019-11-11 20:47:00,4
2019-11-11 20:48:00,1
2019-11-11 20:49:00,10
2019-11-11 20:50:00,2
2019-11-11 20:51:00,7
2019-11-11 20:52:00,11
2019-11-11 20:53:00,5
2019-11-11 21:22:00,4
2019-11-11 21:23:00,7
2019-11-11 21:24:00,6
2019-11-11 21:25:00,6
2019-11-11 21:26:00,6
2019-11-11 21:27:00,3
2019-11-11 21:28:00,1
2019-11-11 21:29:00,3
2019-11-11 21:30:00,3
2019-11-11 22:31:00,1
2019-11-11 22:32:00,1
2019-11-11 22:35:00,4
2019-11-11 22:36:00,2
