14,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.nMgyPerCount_u, p.nMgyPerCount_g, p.nMgyPerCount_r, p.nMgyPerCount_i, p.nMgyPerCount_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.type=# AND p.field = #"
2019-11-11 15:38:00,1
2019-11-11 15:41:00,1
2019-11-11 15:42:00,1
2019-11-11 15:43:00,1
2019-11-11 15:44:00,1
2019-11-11 15:46:00,1
2019-11-11 15:48:00,1
2019-11-11 15:51:00,1
2019-11-11 15:55:00,1
2019-11-11 16:30:00,1
2019-11-11 16:41:00,1
2019-11-11 17:17:00,2
2019-11-11 17:27:00,1
