10,"select top # petroRad_i, expAB_i, ObjID from galaxy where ObjID IN ( #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, # )"
2019-11-11 20:27:00,1
2019-11-11 20:34:00,1
2019-11-11 21:15:00,1
2019-11-11 21:20:00,1
2019-11-11 21:21:00,1
2019-11-11 21:31:00,1
2019-11-11 21:33:00,1
2019-11-11 21:36:00,1
2019-11-11 21:49:00,1
2019-11-11 21:51:00,1
