4856,"SELECT sp.objid,sp.ra,sp.dec, sp.class, sp.z as redshift, ISNULL(m.k,#) as k , sp.dered_r FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z ># AND sp.z < # AND sp.class = GALAXY&&&"
2019-11-11 01:10:00,62
2019-11-11 01:11:00,121
2019-11-11 01:12:00,104
2019-11-11 01:13:00,39
2019-11-11 01:14:00,26
2019-11-11 01:31:00,1
2019-11-11 15:54:00,1
2019-11-11 15:55:00,20
2019-11-11 15:56:00,52
2019-11-11 15:57:00,44
2019-11-11 15:58:00,42
2019-11-11 15:59:00,45
2019-11-11 16:00:00,1
2019-11-11 16:21:00,1
2019-11-11 16:31:00,1
2019-11-11 16:32:00,24
2019-11-11 16:33:00,27
2019-11-11 16:34:00,35
2019-11-11 16:35:00,11
2019-11-11 16:36:00,42
2019-11-11 16:37:00,33
2019-11-11 16:38:00,29
2019-11-11 16:39:00,52
2019-11-11 16:40:00,10
2019-11-11 17:42:00,38
2019-11-11 17:43:00,54
2019-11-11 17:44:00,48
2019-11-11 17:45:00,39
2019-11-11 17:46:00,56
2019-11-11 17:47:00,87
2019-11-11 17:48:00,118
2019-11-11 17:49:00,85
2019-11-11 17:50:00,32
2019-11-11 17:51:00,31
2019-11-11 17:52:00,28
2019-11-11 17:54:00,19
2019-11-11 17:55:00,53
2019-11-11 17:56:00,48
2019-11-11 17:57:00,44
2019-11-11 17:58:00,56
2019-11-11 17:59:00,79
2019-11-11 18:00:00,132
2019-11-11 18:01:00,95
2019-11-11 18:02:00,32
2019-11-11 18:03:00,34
2019-11-11 18:04:00,31
2019-11-11 18:05:00,32
2019-11-11 18:06:00,31
2019-11-11 18:07:00,30
2019-11-11 18:08:00,32
2019-11-11 18:09:00,33
2019-11-11 18:10:00,30
2019-11-11 18:20:00,4
2019-11-11 18:21:00,30
2019-11-11 18:35:00,27
2019-11-11 18:36:00,54
2019-11-11 18:37:00,47
2019-11-11 18:38:00,44
2019-11-11 18:39:00,54
2019-11-11 18:40:00,93
2019-11-11 18:41:00,138
2019-11-11 18:42:00,75
2019-11-11 18:43:00,32
2019-11-11 18:44:00,33
2019-11-11 18:45:00,31
2019-11-11 18:46:00,32
2019-11-11 18:47:00,32
2019-11-11 18:48:00,33
2019-11-11 18:49:00,30
2019-11-11 18:50:00,41
2019-11-11 18:51:00,15
2019-11-11 21:14:00,51
2019-11-11 21:15:00,127
2019-11-11 21:16:00,104
2019-11-11 21:17:00,98
2019-11-11 21:18:00,76
2019-11-11 21:19:00,74
2019-11-11 21:20:00,65
2019-11-11 21:21:00,73
2019-11-11 21:22:00,69
2019-11-11 21:23:00,68
2019-11-11 21:24:00,12
2019-11-11 21:25:00,13
2019-11-11 21:26:00,11
2019-11-11 21:27:00,7
2019-11-11 21:28:00,5
2019-11-11 21:29:00,4
2019-11-11 21:30:00,5
2019-11-11 21:31:00,4
2019-11-11 21:32:00,4
2019-11-11 21:33:00,4
2019-11-11 21:34:00,3
2019-11-11 21:35:00,5
2019-11-11 21:36:00,6
2019-11-11 21:37:00,4
2019-11-11 21:38:00,5
2019-11-11 21:39:00,4
2019-11-11 21:40:00,3
2019-11-11 21:41:00,3
2019-11-11 21:42:00,4
2019-11-11 21:43:00,6
2019-11-11 21:44:00,6
2019-11-11 21:45:00,4
2019-11-11 21:46:00,6
2019-11-11 21:47:00,7
2019-11-11 21:48:00,10
2019-11-11 22:55:00,1
2019-11-11 22:56:00,45
2019-11-11 22:57:00,50
2019-11-11 22:58:00,30
2019-11-11 22:59:00,34
2019-11-11 23:00:00,43
2019-11-11 23:01:00,48
2019-11-11 23:02:00,109
2019-11-11 23:03:00,118
2019-11-11 23:04:00,59
2019-11-11 23:05:00,33
2019-11-11 23:06:00,33
2019-11-11 23:07:00,33
2019-11-11 23:08:00,33
2019-11-11 23:09:00,33
2019-11-11 23:10:00,31
2019-11-11 23:11:00,32
2019-11-11 23:12:00,42
2019-11-11 23:13:00,4
