266,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.nMgyPerCount_u, p.nMgyPerCount_g, p.nMgyPerCount_r, p.nMgyPerCount_i, p.nMgyPerCount_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-11-11 15:46:00,1
2019-11-11 15:49:00,1
2019-11-11 15:56:00,10
2019-11-11 15:57:00,3
2019-11-11 15:58:00,7
2019-11-11 15:59:00,10
2019-11-11 16:01:00,10
2019-11-11 16:03:00,10
2019-11-11 16:05:00,10
2019-11-11 16:07:00,6
2019-11-11 16:08:00,7
2019-11-11 16:09:00,2
2019-11-11 16:10:00,5
2019-11-11 16:11:00,3
2019-11-11 16:31:00,10
2019-11-11 16:33:00,6
2019-11-11 16:34:00,4
2019-11-11 16:35:00,10
2019-11-11 16:37:00,10
2019-11-11 16:38:00,2
2019-11-11 16:39:00,8
2019-11-11 16:41:00,8
2019-11-11 17:18:00,10
2019-11-11 17:20:00,10
2019-11-11 17:21:00,6
2019-11-11 17:22:00,4
2019-11-11 17:23:00,2
2019-11-11 17:24:00,8
2019-11-11 17:27:00,10
2019-11-11 17:29:00,10
2019-11-11 17:30:00,2
2019-11-11 17:31:00,8
2019-11-11 17:32:00,5
2019-11-11 17:33:00,5
2019-11-11 17:34:00,10
2019-11-11 17:36:00,10
2019-11-11 17:38:00,3
2019-11-11 17:39:00,10
2019-11-11 17:41:00,10
