12,"SELECT TOP #  p.run,p.rerun,p.camCol,p.field,p.obj  FROM ..PhotoObj AS p  JOIN dbo.fGetObjFromRect(#,#,#,#) AS b ON p.objID = b.objID  WHERE p.g < # AND p.g > # AND (p.g - p.r) < # AND (p.g - p.r) > # AND p.i < # AND p.i > # AND (p.i - p.z) < # AND (p.i - p.z) > # AND (p.score >= #) AND (p.petroMag_r - p.petroMag_i) < # AND (p.petroMag_r - p.petroMag_i) > # AND p.petroMag_r < # AND p.petroMag_r > # AND (p.petroMag_u - p.petroMag_g) < # AND (p.petroMag_u - p.petroMag_g) > # AND p.petroMag_u < # AND p.petroMag_u > # AND p.petroMag_z < # AND p.petroMag_z > # AND ( p.type = #)"
2019-11-11 17:09:00,1
2019-11-11 17:10:00,2
2019-11-11 17:11:00,4
2019-11-11 17:13:00,5
