632,"SELECT   p.objid,p.ra,p.dec,p.r,   s.specobjid,s.z,   dbo.fSpecZWarningN(s.zWarning) as warning,   s.plate, s.mjd, s.fiberid   FROM PhotoObj AS p   JOIN SpecObj AS s ON s.bestobjid = p.objid   WHERE   p.ra < #+# and p.ra > #-#   AND p.dec < #+# and p.dec > #-#"
2019-11-11 00:02:00,1
2019-11-11 00:04:00,1
2019-11-11 00:05:00,1
2019-11-11 00:09:00,1
2019-11-11 00:12:00,1
2019-11-11 00:13:00,1
2019-11-11 00:14:00,1
2019-11-11 00:17:00,1
2019-11-11 00:19:00,1
2019-11-11 00:24:00,1
2019-11-11 00:26:00,1
2019-11-11 00:27:00,1
2019-11-11 00:29:00,1
2019-11-11 00:35:00,1
2019-11-11 00:36:00,1
2019-11-11 00:39:00,1
2019-11-11 00:41:00,1
2019-11-11 00:42:00,1
2019-11-11 00:44:00,1
2019-11-11 00:45:00,1
2019-11-11 00:47:00,1
2019-11-11 00:50:00,1
2019-11-11 00:52:00,1
2019-11-11 00:53:00,1
2019-11-11 00:54:00,1
2019-11-11 00:56:00,1
2019-11-11 00:58:00,1
2019-11-11 01:00:00,1
2019-11-11 01:02:00,1
2019-11-11 01:09:00,1
2019-11-11 01:11:00,1
2019-11-11 01:12:00,1
2019-11-11 01:13:00,1
2019-11-11 01:14:00,1
2019-11-11 01:16:00,1
2019-11-11 01:17:00,1
2019-11-11 01:19:00,1
2019-11-11 01:21:00,1
2019-11-11 01:23:00,1
2019-11-11 01:24:00,1
2019-11-11 01:27:00,1
2019-11-11 01:28:00,1
2019-11-11 01:29:00,1
2019-11-11 01:31:00,1
2019-11-11 01:36:00,1
2019-11-11 01:38:00,1
2019-11-11 01:40:00,1
2019-11-11 01:42:00,1
2019-11-11 01:43:00,1
2019-11-11 01:45:00,1
2019-11-11 01:47:00,1
2019-11-11 01:48:00,1
2019-11-11 01:49:00,1
2019-11-11 01:51:00,1
2019-11-11 01:53:00,1
2019-11-11 01:54:00,1
2019-11-11 01:56:00,1
2019-11-11 01:57:00,1
2019-11-11 01:58:00,1
2019-11-11 01:59:00,1
2019-11-11 02:03:00,1
2019-11-11 02:05:00,1
2019-11-11 02:06:00,1
2019-11-11 02:07:00,1
2019-11-11 02:10:00,1
2019-11-11 02:13:00,1
2019-11-11 02:15:00,1
2019-11-11 02:19:00,1
2019-11-11 02:21:00,1
2019-11-11 02:24:00,1
2019-11-11 02:25:00,1
2019-11-11 02:26:00,1
2019-11-11 02:28:00,1
2019-11-11 02:29:00,1
2019-11-11 02:33:00,1
2019-11-11 02:38:00,1
2019-11-11 02:41:00,1
2019-11-11 02:44:00,1
2019-11-11 02:46:00,1
2019-11-11 02:47:00,1
2019-11-11 02:48:00,1
2019-11-11 02:50:00,1
2019-11-11 02:52:00,1
2019-11-11 02:56:00,1
2019-11-11 02:57:00,1
2019-11-11 02:59:00,1
2019-11-11 03:00:00,1
2019-11-11 03:01:00,1
2019-11-11 03:02:00,1
2019-11-11 03:04:00,1
2019-11-11 03:06:00,1
2019-11-11 03:07:00,1
2019-11-11 03:09:00,1
2019-11-11 03:10:00,1
2019-11-11 03:12:00,1
2019-11-11 03:15:00,1
2019-11-11 03:16:00,1
2019-11-11 03:17:00,1
2019-11-11 03:20:00,1
2019-11-11 03:21:00,1
2019-11-11 03:25:00,1
2019-11-11 03:28:00,1
2019-11-11 03:33:00,1
2019-11-11 03:34:00,1
2019-11-11 03:36:00,1
2019-11-11 03:38:00,1
