246,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, psfFlux_u, psfFlux_g, psfFlux_r, psfFlux_i, psfFlux_z, psfFluxIvar_u, psfFluxIvar_g, psfFluxIvar_r, psfFluxIvar_i, psfFluxIvar_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-11-11 15:57:00,10
2019-11-11 15:58:00,1
2019-11-11 15:59:00,9
2019-11-11 16:00:00,4
2019-11-11 16:01:00,6
2019-11-11 16:02:00,10
2019-11-11 16:04:00,10
2019-11-11 16:06:00,10
2019-11-11 16:07:00,3
2019-11-11 16:09:00,10
2019-11-11 16:12:00,10
2019-11-11 16:32:00,6
2019-11-11 16:33:00,4
2019-11-11 16:34:00,5
2019-11-11 16:35:00,5
2019-11-11 16:36:00,7
2019-11-11 16:37:00,3
2019-11-11 16:38:00,10
2019-11-11 17:19:00,10
2019-11-11 17:21:00,10
2019-11-11 17:23:00,10
2019-11-11 17:24:00,1
2019-11-11 17:25:00,9
2019-11-11 17:28:00,10
2019-11-11 17:30:00,10
2019-11-11 17:32:00,10
2019-11-11 17:33:00,5
2019-11-11 17:34:00,5
2019-11-11 17:35:00,10
2019-11-11 17:37:00,3
2019-11-11 17:38:00,10
2019-11-11 17:40:00,10
2019-11-11 17:42:00,10
