18,"SELECT TOP # objID, ra, dec, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, clean FROM StarTag WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND modelMag_r BETWEEN # AND # AND clean = #"
2019-01-06 01:05:00,1
2019-01-06 01:24:00,1
2019-01-06 01:35:00,2
2019-01-06 01:37:00,1
2019-01-06 10:51:00,2
2019-01-06 10:53:00,1
2019-01-06 10:54:00,2
2019-01-06 10:55:00,1
2019-01-06 10:59:00,1
2019-01-06 20:44:00,1
2019-01-06 20:58:00,1
2019-01-06 20:59:00,1
2019-01-06 21:00:00,1
2019-01-06 21:02:00,1
2019-01-06 21:08:00,1
