17,"select count(expMag_u),avg(expMag_u-#*log1#(#E+#*SpecObjAll.z)),stdev(expMag_u-#*log1#(#E+#*SpecObjAll.z)),avg(expMag_g-#*log1#(#E+#*SpecObjAll.z)),stdev(expMag_g-#*log1#(#E+#*SpecObjAll.z)),avg(expMag_r-#*log1#(#E+#*SpecObjAll.z)),stdev(expMag_r-#*log1#(#E+#*SpecObjAll.z)),avg(expMag_i-#*log1#(#E+#*SpecObjAll.z)),stdev(expMag_i-#*log1#(#E+#*SpecObjAll.z)),avg(expMag_z-#*log1#(#E+#*SpecObjAll.z)),stdev(expMag_z-#*log1#(#E+#*SpecObjAll.z)) from MyDB.DR1#_cw ,PhotoObjAll,SpecObjAll where DR1#_cw.ID=PhotoObjAll.objID and SpecObjAll.bestObjID=DR1#_cw.ID and SpecObjAll.z># and SpecObjAll.z<# and (PhotoObjAll.ra># and PhotoObjAll.ra<#) and expMag_u># and expMag_g># and expMag_r># and expMag_i># and expMag_z># and expMag_u<# and expMag_g<# and expMag_r<# and expMag_i<# and expMag_z<#    select count(expMag_u),avg(expMag_u-#*log1#(#E+#*SpecObjAll.z)),stdev(expMag_u-#*log1#(#E+#*SpecObjAll.z)),avg(expMag_g-#*log1#(#E+#*SpecObjAll.z)),stdev(expMag_g-#*log1#(#E+#*SpecObjAll.z)),avg(expMag_r-#*log1#(#E+#*SpecObjAll.z)),stdev(expMag_r-#*log1#(#E+#*SpecObjAll.z)),avg(expMag_i-#*log1#(#E+#*SpecObjAll.z)),stdev(expMag_i-#*log1#(#E+#*SpecObjAll.z)),avg(expMag_z-#*log1#(#E+#*SpecObjAll.z)),stdev(expMag_z-#*log1#(#E+#*SpecObjAll.z)) from MyDB.DR1#_ccw ,PhotoObjAll,SpecObjAll where DR1#_ccw.ID=PhotoObjAll.objID and SpecObjAll.bestObjID=DR1#_ccw.ID and SpecObjAll.z># and SpecObjAll.z<# and (PhotoObjAll.ra># and PhotoObjAll.ra<#) and expMag_u># and expMag_g># and expMag_r># and expMag_i># and expMag_z># and expMag_u<# and expMag_g<# and expMag_r<# and expMag_i<# and expMag_z<#"
2019-11-26 00:11:00,1
2019-11-26 00:21:00,1
2019-11-26 01:38:00,1
2019-11-26 01:39:00,1
2019-11-26 01:42:00,1
2019-11-26 01:45:00,1
2019-11-26 01:50:00,1
2019-11-26 01:58:00,1
2019-11-26 02:00:00,1
2019-11-26 02:02:00,1
2019-11-26 02:04:00,1
2019-11-26 02:06:00,1
2019-11-26 02:10:00,1
2019-11-26 02:12:00,1
2019-11-26 02:15:00,1
2019-11-26 02:17:00,1
2019-11-26 02:18:00,1
