23,"SELECT  top # p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g, p.r, p.i, p.z,    p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z    FROM fGetObjFromRect(#,#,#,#) n,   PhotoPrimary p    WHERE n.objID=p.objID"
2019-11-26 06:30:00,1
2019-11-26 08:51:00,1
2019-11-26 15:48:00,1
2019-11-26 15:49:00,1
2019-11-26 15:50:00,2
2019-11-26 15:58:00,2
2019-11-26 15:59:00,2
2019-11-26 16:12:00,3
2019-11-26 16:13:00,1
2019-11-26 18:26:00,4
2019-11-26 18:58:00,4
2019-11-26 21:32:00,1
