24,"SELECT TOP #  p.objid,p.ra,p.dec,petroMag_u,petroMagErr_u,petroMag_g,petroMagErr_g,petroMag_r,petroMagErr_r,petroMag_i,petroMagErr_i,petroMag_z,petroMagErr_z FROM PhotoObj AS p WHERE   p.objid = #"
2019-11-26 00:48:00,1
2019-11-26 14:05:00,1
2019-11-26 15:03:00,2
2019-11-26 15:19:00,1
2019-11-26 15:27:00,1
2019-11-26 15:33:00,1
2019-11-26 15:34:00,1
2019-11-26 15:35:00,1
2019-11-26 15:36:00,1
2019-11-26 15:39:00,1
2019-11-26 15:45:00,1
2019-11-26 15:51:00,1
2019-11-26 20:06:00,1
2019-11-26 20:07:00,1
2019-11-26 20:08:00,2
2019-11-26 20:09:00,2
2019-11-26 20:10:00,2
2019-11-26 20:11:00,1
2019-11-26 20:12:00,1
2019-11-26 20:13:00,1
