4,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from galaxy p where (p.g-p.r BETWEEN # AND #)  and (p.r-p.i BETWEEN # AND #)  and (p.i-p.z BETWEEN # AND #)  and (z BETWEEN # AND #)"
2019-11-26 17:39:00,3
2019-11-26 17:40:00,1
