17,"SELECT TOP #   p.u, p.g, p.r, p.i, p.z, s.class, s.z, s.zerr  FROM PhotoObj AS p   JOIN SpecObj AS s ON s.bestobjid = p.objid  WHERE   p.u BETWEEN # AND #   AND p.g BETWEEN # AND #   AND s.class <> &&&   AND s.class <> &&&   AND s.class <> &&&   AND s.class <> &&&"
2019-11-26 00:37:00,1
2019-11-26 00:43:00,1
2019-11-26 01:27:00,1
2019-11-26 13:56:00,1
2019-11-26 20:24:00,1
2019-11-26 22:06:00,2
2019-11-26 22:07:00,1
2019-11-26 22:09:00,2
2019-11-26 22:10:00,1
2019-11-26 22:11:00,2
2019-11-26 22:14:00,1
2019-11-26 22:23:00,1
2019-11-26 22:26:00,1
2019-11-26 22:36:00,1
