136,"select cg.geom.ToString() as wkt, cg.btype, cg.ptype     from CellTag ca, CellGeom cg     where ca.sampleid = #     and ca.px between # and #     and ca.py between # and #     and cg.cellid=ca.cellid     and cg.btype=#"
2019-11-26 17:00:00,1
2019-11-26 17:01:00,2
2019-11-26 17:02:00,4
2019-11-26 17:03:00,1
2019-11-26 17:04:00,2
2019-11-26 17:05:00,8
2019-11-26 17:06:00,2
2019-11-26 17:12:00,2
2019-11-26 17:13:00,4
2019-11-26 17:14:00,6
2019-11-26 17:15:00,6
2019-11-26 17:16:00,6
2019-11-26 17:17:00,2
2019-11-26 17:18:00,2
2019-11-26 17:19:00,6
2019-11-26 17:20:00,6
2019-11-26 17:21:00,8
2019-11-26 17:22:00,6
2019-11-26 17:23:00,6
2019-11-26 17:24:00,2
2019-11-26 17:25:00,4
2019-11-26 17:26:00,2
2019-11-26 17:27:00,4
2019-11-26 17:28:00,6
2019-11-26 17:29:00,3
2019-11-26 17:30:00,3
2019-11-26 17:32:00,2
2019-11-26 17:33:00,6
2019-11-26 17:34:00,4
2019-11-26 17:35:00,4
2019-11-26 17:36:00,6
2019-11-26 17:37:00,2
2019-11-26 17:40:00,2
2019-11-26 17:41:00,2
2019-11-26 17:43:00,2
2019-11-26 17:44:00,2
