6915,select petroRad_r from galaxy where objID=#
2019-11-26 11:36:00,10
2019-11-26 11:37:00,204
2019-11-26 11:38:00,203
2019-11-26 11:39:00,202
2019-11-26 11:40:00,203
2019-11-26 11:41:00,189
2019-11-26 11:42:00,204
2019-11-26 11:43:00,203
2019-11-26 11:44:00,204
2019-11-26 11:45:00,199
2019-11-26 11:46:00,20
2019-11-26 11:47:00,2
2019-11-26 11:48:00,66
2019-11-26 11:49:00,67
2019-11-26 11:51:00,147
2019-11-26 11:52:00,215
2019-11-26 11:53:00,213
2019-11-26 11:54:00,214
2019-11-26 11:55:00,215
2019-11-26 11:56:00,215
2019-11-26 11:57:00,213
2019-11-26 11:58:00,217
2019-11-26 11:59:00,215
2019-11-26 12:00:00,206
2019-11-26 12:01:00,205
2019-11-26 12:02:00,205
2019-11-26 12:03:00,205
2019-11-26 12:04:00,204
2019-11-26 12:05:00,201
2019-11-26 12:06:00,142
2019-11-26 12:07:00,201
2019-11-26 12:08:00,204
2019-11-26 12:09:00,205
2019-11-26 12:10:00,203
2019-11-26 12:11:00,203
2019-11-26 12:12:00,203
2019-11-26 12:13:00,203
2019-11-26 12:14:00,198
2019-11-26 12:15:00,87
