1287,"SELECT sp.objid,sp.ra,sp.dec, sp.class, sp.z as redshift, ISNULL(m.k,#) as k , sp.dered_r FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z ># AND sp.z < # AND sp.class = GALAXY&&&"
2019-11-26 14:32:00,1
2019-11-26 14:33:00,15
2019-11-26 14:34:00,29
2019-11-26 14:35:00,32
2019-11-26 14:36:00,31
2019-11-26 14:37:00,32
2019-11-26 14:38:00,32
2019-11-26 14:39:00,31
2019-11-26 14:40:00,32
2019-11-26 14:41:00,29
2019-11-26 14:42:00,31
2019-11-26 14:43:00,31
2019-11-26 14:44:00,32
2019-11-26 14:45:00,30
2019-11-26 14:46:00,30
2019-11-26 14:47:00,30
2019-11-26 14:48:00,28
2019-11-26 15:40:00,18
2019-11-26 15:41:00,54
2019-11-26 15:42:00,42
2019-11-26 15:43:00,44
2019-11-26 15:44:00,53
2019-11-26 15:45:00,64
2019-11-26 15:46:00,121
2019-11-26 15:47:00,117
2019-11-26 15:48:00,32
2019-11-26 15:49:00,30
2019-11-26 15:50:00,30
2019-11-26 15:51:00,31
2019-11-26 15:52:00,28
2019-11-26 15:53:00,30
2019-11-26 15:54:00,28
2019-11-26 15:55:00,25
2019-11-26 15:56:00,26
2019-11-26 15:57:00,28
2019-11-26 15:58:00,10
