69,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-03-30 01:34:00,1
2019-03-30 01:35:00,1
2019-03-30 01:41:00,1
2019-03-30 01:47:00,1
2019-03-30 01:53:00,1
2019-03-30 02:13:00,1
2019-03-30 02:17:00,1
2019-03-30 02:31:00,1
2019-03-30 02:34:00,1
2019-03-30 02:35:00,1
2019-03-30 02:43:00,1
2019-03-30 02:49:00,1
2019-03-30 02:53:00,1
2019-03-30 03:00:00,1
2019-03-30 03:03:00,1
2019-03-30 03:12:00,1
2019-03-30 03:16:00,1
2019-03-30 03:31:00,1
2019-03-30 03:36:00,1
2019-03-30 03:43:00,1
2019-03-30 03:56:00,1
2019-03-30 04:14:00,1
2019-03-30 04:26:00,1
2019-03-30 09:22:00,1
2019-03-30 09:32:00,1
2019-03-30 09:35:00,1
2019-03-30 09:44:00,1
2019-03-30 09:48:00,1
2019-03-30 09:49:00,1
2019-03-30 09:50:00,1
2019-03-30 10:05:00,1
2019-03-30 10:09:00,1
2019-03-30 10:10:00,1
2019-03-30 10:12:00,1
2019-03-30 10:15:00,1
2019-03-30 10:17:00,1
2019-03-30 10:44:00,1
2019-03-30 11:16:00,1
2019-03-30 11:19:00,1
2019-03-30 11:20:00,1
2019-03-30 11:27:00,1
2019-03-30 11:28:00,1
2019-03-30 11:36:00,1
2019-03-30 11:48:00,1
2019-03-30 11:55:00,1
2019-03-30 11:56:00,1
2019-03-30 12:08:00,1
2019-03-30 12:10:00,1
2019-03-30 13:16:00,1
2019-03-30 13:17:00,1
2019-03-30 13:18:00,1
2019-03-30 13:52:00,1
2019-03-30 13:53:00,1
2019-03-30 13:56:00,1
2019-03-30 14:37:00,1
2019-03-30 14:38:00,1
2019-03-30 14:39:00,1
2019-03-30 14:40:00,1
2019-03-30 14:41:00,1
2019-03-30 17:24:00,1
2019-03-30 17:27:00,1
2019-03-30 18:03:00,1
2019-03-30 18:10:00,1
2019-03-30 18:16:00,1
2019-03-30 18:23:00,1
2019-03-30 18:34:00,1
2019-03-30 18:48:00,1
2019-03-30 19:18:00,1
2019-03-30 19:19:00,1
