33,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-03-30 00:46:00,4
2019-03-30 00:47:00,4
2019-03-30 00:48:00,3
2019-03-30 00:49:00,3
2019-03-30 11:55:00,1
2019-03-30 12:33:00,1
2019-03-30 12:50:00,2
2019-03-30 12:56:00,1
2019-03-30 14:38:00,1
2019-03-30 14:59:00,1
2019-03-30 15:03:00,1
2019-03-30 15:42:00,1
2019-03-30 16:20:00,1
2019-03-30 17:24:00,1
2019-03-30 20:48:00,1
2019-03-30 22:18:00,1
2019-03-30 22:19:00,5
2019-03-30 22:37:00,1
