125,"SELECT  s.objid,s.ra as ra,s.dec as dec,pz.z as photoz,pz.zerr as photozerr, b.distance as proj_sep,s.modelMag_u as umag,s.modelMagErr_u as umagerr, s.modelMag_g as gmag,s.modelMagErr_g as gmagerr,s.modelMag_r as rmag, s.modelMagerr_r as rmagerr, s.type as obj_type  FROM BESTDR1#..PhotoObjAll as s  JOIN dbo.fGetNearbyObjEq(#,#,#) AS b ON b.objID = S.objID  JOIN Photoz as pz ON pz.objid = s.objid  WHERE (s.type=# and pz.z > # and pz.z < #)"
2019-03-30 02:17:00,3
2019-03-30 02:18:00,1
2019-03-30 06:52:00,1
2019-03-30 06:54:00,1
2019-03-30 06:55:00,2
2019-03-30 06:57:00,2
2019-03-30 06:58:00,1
2019-03-30 07:00:00,3
2019-03-30 07:01:00,2
2019-03-30 07:02:00,1
2019-03-30 07:03:00,1
2019-03-30 07:04:00,2
2019-03-30 07:05:00,2
2019-03-30 07:06:00,1
2019-03-30 07:07:00,4
2019-03-30 07:08:00,2
2019-03-30 07:10:00,1
2019-03-30 07:11:00,1
2019-03-30 07:12:00,3
2019-03-30 07:13:00,3
2019-03-30 07:14:00,1
2019-03-30 07:15:00,1
2019-03-30 07:17:00,1
2019-03-30 07:20:00,1
2019-03-30 07:21:00,1
2019-03-30 07:23:00,1
2019-03-30 07:25:00,2
2019-03-30 07:26:00,2
2019-03-30 07:27:00,1
2019-03-30 07:28:00,2
2019-03-30 07:29:00,4
2019-03-30 07:30:00,3
2019-03-30 07:31:00,1
2019-03-30 07:32:00,2
2019-03-30 07:33:00,4
2019-03-30 08:26:00,1
2019-03-30 08:27:00,3
2019-03-30 08:29:00,3
2019-03-30 08:31:00,1
2019-03-30 08:32:00,4
2019-03-30 08:33:00,2
2019-03-30 08:35:00,3
2019-03-30 08:37:00,1
2019-03-30 08:41:00,2
2019-03-30 08:42:00,3
2019-03-30 08:44:00,2
2019-03-30 08:45:00,3
2019-03-30 08:46:00,4
2019-03-30 08:47:00,5
2019-03-30 08:48:00,1
2019-03-30 08:49:00,4
2019-03-30 08:50:00,1
2019-03-30 08:51:00,4
2019-03-30 08:52:00,5
2019-03-30 08:53:00,2
2019-03-30 08:54:00,5
2019-03-30 08:55:00,2
