11083,"SELECT dbo.fGetNearestSpecObjIdAllEq(#,#,#) as specObjID"
2019-03-30 00:03:00,1
2019-03-30 00:04:00,4
2019-03-30 00:05:00,4
2019-03-30 00:06:00,25
2019-03-30 00:07:00,25
2019-03-30 00:08:00,25
2019-03-30 00:09:00,26
2019-03-30 00:10:00,26
2019-03-30 00:11:00,22
2019-03-30 00:12:00,23
2019-03-30 00:13:00,23
2019-03-30 00:14:00,23
2019-03-30 00:15:00,24
2019-03-30 00:16:00,23
2019-03-30 00:17:00,23
2019-03-30 00:18:00,23
2019-03-30 00:19:00,21
2019-03-30 00:20:00,22
2019-03-30 00:21:00,22
2019-03-30 00:22:00,22
2019-03-30 00:23:00,20
2019-03-30 00:24:00,21
2019-03-30 00:25:00,22
2019-03-30 00:26:00,22
2019-03-30 00:27:00,22
2019-03-30 00:28:00,22
2019-03-30 00:29:00,24
2019-03-30 00:30:00,21
2019-03-30 00:31:00,23
2019-03-30 00:32:00,22
2019-03-30 00:33:00,22
2019-03-30 00:34:00,21
2019-03-30 00:35:00,23
2019-03-30 00:36:00,21
2019-03-30 00:37:00,19
2019-03-30 00:38:00,23
2019-03-30 00:39:00,23
2019-03-30 00:40:00,33
2019-03-30 00:41:00,43
2019-03-30 00:42:00,46
2019-03-30 00:43:00,44
2019-03-30 00:44:00,44
2019-03-30 00:45:00,45
2019-03-30 00:46:00,44
2019-03-30 00:47:00,40
2019-03-30 00:48:00,43
2019-03-30 00:49:00,46
2019-03-30 00:50:00,43
2019-03-30 00:51:00,46
2019-03-30 00:52:00,43
2019-03-30 00:53:00,43
2019-03-30 00:54:00,44
2019-03-30 00:55:00,45
2019-03-30 00:56:00,46
2019-03-30 00:57:00,42
2019-03-30 00:58:00,44
2019-03-30 00:59:00,43
2019-03-30 01:00:00,45
2019-03-30 01:01:00,40
2019-03-30 01:02:00,44
2019-03-30 01:03:00,45
2019-03-30 01:04:00,42
2019-03-30 01:05:00,44
2019-03-30 01:06:00,42
2019-03-30 01:07:00,45
2019-03-30 01:08:00,43
2019-03-30 01:09:00,47
2019-03-30 01:10:00,43
2019-03-30 01:11:00,56
2019-03-30 01:12:00,64
2019-03-30 01:13:00,64
2019-03-30 01:14:00,65
2019-03-30 01:15:00,52
2019-03-30 01:16:00,61
2019-03-30 01:17:00,68
2019-03-30 01:18:00,66
2019-03-30 01:19:00,65
2019-03-30 01:20:00,63
2019-03-30 01:21:00,64
2019-03-30 01:22:00,65
2019-03-30 01:23:00,77
2019-03-30 01:24:00,75
2019-03-30 01:25:00,75
2019-03-30 01:26:00,70
2019-03-30 01:27:00,70
2019-03-30 01:28:00,68
2019-03-30 01:29:00,66
2019-03-30 01:30:00,63
2019-03-30 01:31:00,67
2019-03-30 01:32:00,65
2019-03-30 01:33:00,67
2019-03-30 01:34:00,62
2019-03-30 01:35:00,45
2019-03-30 01:36:00,48
2019-03-30 01:37:00,23
2019-03-30 01:38:00,24
2019-03-30 01:39:00,23
2019-03-30 01:40:00,23
2019-03-30 01:41:00,23
2019-03-30 01:42:00,23
2019-03-30 01:43:00,23
2019-03-30 01:44:00,23
2019-03-30 01:45:00,22
2019-03-30 01:46:00,16
2019-03-30 01:47:00,24
2019-03-30 01:48:00,24
2019-03-30 01:49:00,23
2019-03-30 01:50:00,23
2019-03-30 01:51:00,24
2019-03-30 01:52:00,24
2019-03-30 01:53:00,21
2019-03-30 01:54:00,24
2019-03-30 01:55:00,23
2019-03-30 01:56:00,23
2019-03-30 01:57:00,24
2019-03-30 01:58:00,23
2019-03-30 01:59:00,23
2019-03-30 02:00:00,23
2019-03-30 02:01:00,23
2019-03-30 02:02:00,24
2019-03-30 02:03:00,21
2019-03-30 02:04:00,14
2019-03-30 02:05:00,22
2019-03-30 02:06:00,23
2019-03-30 02:07:00,25
2019-03-30 02:08:00,21
2019-03-30 02:09:00,24
2019-03-30 02:10:00,23
2019-03-30 02:11:00,23
2019-03-30 02:12:00,23
2019-03-30 02:13:00,23
2019-03-30 02:14:00,23
2019-03-30 02:15:00,23
2019-03-30 02:16:00,24
2019-03-30 02:17:00,24
2019-03-30 02:18:00,23
2019-03-30 02:19:00,24
2019-03-30 02:20:00,23
2019-03-30 02:21:00,24
2019-03-30 02:22:00,23
2019-03-30 02:23:00,24
2019-03-30 02:24:00,24
2019-03-30 02:25:00,23
2019-03-30 02:26:00,24
2019-03-30 02:27:00,22
2019-03-30 02:28:00,24
2019-03-30 02:29:00,23
2019-03-30 02:30:00,24
2019-03-30 02:31:00,23
2019-03-30 02:32:00,23
2019-03-30 02:33:00,24
2019-03-30 02:34:00,24
2019-03-30 02:35:00,23
2019-03-30 02:36:00,23
2019-03-30 02:37:00,24
2019-03-30 02:38:00,24
2019-03-30 02:39:00,23
2019-03-30 02:40:00,24
2019-03-30 02:41:00,23
2019-03-30 02:42:00,23
2019-03-30 02:43:00,24
2019-03-30 02:44:00,23
2019-03-30 02:45:00,24
2019-03-30 02:46:00,23
2019-03-30 02:47:00,24
2019-03-30 02:48:00,24
2019-03-30 02:49:00,24
2019-03-30 02:50:00,24
2019-03-30 02:51:00,23
2019-03-30 02:52:00,24
2019-03-30 02:53:00,24
2019-03-30 02:54:00,30
2019-03-30 02:55:00,31
2019-03-30 02:56:00,30
2019-03-30 02:57:00,31
2019-03-30 02:58:00,31
2019-03-30 02:59:00,31
2019-03-30 03:00:00,31
2019-03-30 03:01:00,31
2019-03-30 03:02:00,30
2019-03-30 03:03:00,32
2019-03-30 03:04:00,20
2019-03-30 03:05:00,29
2019-03-30 03:06:00,31
2019-03-30 03:07:00,31
2019-03-30 03:08:00,31
2019-03-30 03:09:00,31
2019-03-30 03:10:00,31
2019-03-30 03:11:00,31
2019-03-30 03:12:00,31
2019-03-30 03:13:00,30
2019-03-30 03:14:00,24
2019-03-30 03:15:00,23
2019-03-30 03:16:00,23
2019-03-30 03:17:00,23
2019-03-30 03:18:00,23
2019-03-30 03:19:00,23
2019-03-30 03:20:00,22
2019-03-30 03:21:00,22
2019-03-30 03:22:00,23
2019-03-30 03:23:00,23
2019-03-30 03:24:00,24
2019-03-30 03:25:00,22
2019-03-30 03:26:00,24
2019-03-30 03:27:00,24
2019-03-30 03:28:00,23
2019-03-30 03:29:00,23
2019-03-30 03:30:00,24
2019-03-30 03:31:00,24
2019-03-30 03:32:00,22
2019-03-30 03:33:00,23
2019-03-30 03:34:00,23
2019-03-30 03:35:00,22
2019-03-30 03:36:00,23
2019-03-30 03:37:00,24
2019-03-30 03:38:00,23
2019-03-30 03:39:00,22
2019-03-30 03:40:00,24
2019-03-30 03:41:00,23
2019-03-30 03:42:00,22
2019-03-30 03:43:00,24
2019-03-30 03:44:00,23
2019-03-30 03:45:00,23
2019-03-30 03:46:00,23
2019-03-30 03:47:00,23
2019-03-30 03:48:00,22
2019-03-30 03:49:00,24
2019-03-30 03:50:00,23
2019-03-30 03:51:00,24
2019-03-30 03:52:00,23
2019-03-30 03:53:00,24
2019-03-30 03:54:00,24
2019-03-30 03:55:00,21
2019-03-30 03:56:00,23
2019-03-30 03:57:00,24
2019-03-30 03:58:00,23
2019-03-30 03:59:00,23
2019-03-30 04:00:00,23
2019-03-30 04:01:00,23
2019-03-30 04:02:00,24
2019-03-30 04:03:00,24
2019-03-30 04:04:00,18
2019-03-30 04:05:00,24
2019-03-30 04:06:00,23
2019-03-30 04:07:00,24
2019-03-30 04:08:00,24
2019-03-30 04:09:00,23
2019-03-30 04:10:00,24
2019-03-30 04:11:00,24
2019-03-30 04:12:00,23
2019-03-30 04:13:00,23
2019-03-30 04:14:00,24
2019-03-30 04:15:00,23
2019-03-30 04:16:00,23
2019-03-30 04:17:00,23
2019-03-30 04:18:00,23
2019-03-30 04:19:00,24
2019-03-30 04:20:00,23
2019-03-30 04:21:00,22
2019-03-30 04:22:00,24
2019-03-30 04:23:00,23
2019-03-30 04:24:00,23
2019-03-30 04:25:00,21
2019-03-30 04:26:00,24
2019-03-30 04:27:00,24
2019-03-30 04:28:00,23
2019-03-30 04:29:00,23
2019-03-30 04:30:00,24
2019-03-30 04:31:00,22
2019-03-30 04:32:00,22
2019-03-30 04:33:00,24
2019-03-30 04:34:00,23
2019-03-30 04:35:00,22
2019-03-30 04:36:00,23
2019-03-30 04:37:00,24
2019-03-30 04:38:00,23
2019-03-30 04:39:00,24
2019-03-30 04:40:00,23
2019-03-30 04:41:00,23
2019-03-30 04:42:00,23
2019-03-30 04:43:00,23
2019-03-30 04:44:00,25
2019-03-30 04:45:00,23
2019-03-30 04:46:00,22
2019-03-30 04:47:00,24
2019-03-30 04:48:00,23
2019-03-30 04:49:00,24
2019-03-30 04:50:00,22
2019-03-30 04:51:00,23
2019-03-30 04:52:00,24
2019-03-30 04:53:00,23
2019-03-30 04:54:00,24
2019-03-30 04:55:00,23
2019-03-30 04:56:00,24
2019-03-30 04:57:00,23
2019-03-30 04:58:00,24
2019-03-30 04:59:00,24
2019-03-30 05:00:00,23
2019-03-30 05:01:00,23
2019-03-30 05:02:00,24
2019-03-30 05:03:00,23
2019-03-30 05:04:00,24
2019-03-30 05:05:00,23
2019-03-30 05:06:00,23
2019-03-30 05:07:00,23
2019-03-30 05:08:00,22
2019-03-30 05:09:00,24
2019-03-30 05:10:00,23
2019-03-30 05:11:00,24
2019-03-30 05:12:00,25
2019-03-30 05:13:00,23
2019-03-30 05:14:00,25
2019-03-30 05:15:00,6
2019-03-30 05:16:00,24
2019-03-30 05:17:00,24
2019-03-30 05:18:00,23
2019-03-30 05:19:00,24
2019-03-30 05:20:00,23
2019-03-30 05:21:00,24
2019-03-30 05:22:00,23
2019-03-30 05:23:00,23
2019-03-30 05:24:00,24
2019-03-30 05:25:00,24
2019-03-30 05:26:00,23
2019-03-30 05:27:00,23
2019-03-30 05:28:00,25
2019-03-30 05:29:00,23
2019-03-30 05:30:00,23
2019-03-30 05:31:00,23
2019-03-30 05:32:00,24
2019-03-30 05:33:00,23
2019-03-30 05:34:00,23
2019-03-30 05:35:00,24
2019-03-30 05:36:00,25
2019-03-30 05:37:00,24
2019-03-30 05:38:00,24
2019-03-30 05:39:00,23
2019-03-30 05:40:00,24
2019-03-30 05:41:00,23
2019-03-30 05:42:00,23
2019-03-30 05:43:00,23
2019-03-30 05:44:00,24
2019-03-30 05:45:00,23
2019-03-30 05:46:00,24
2019-03-30 05:47:00,22
2019-03-30 05:48:00,24
2019-03-30 05:49:00,23
2019-03-30 05:50:00,23
2019-03-30 05:51:00,23
2019-03-30 05:52:00,22
2019-03-30 05:53:00,24
2019-03-30 05:54:00,23
2019-03-30 05:55:00,23
2019-03-30 05:56:00,22
2019-03-30 05:57:00,24
2019-03-30 05:58:00,23
2019-03-30 05:59:00,23
2019-03-30 06:00:00,24
2019-03-30 06:01:00,24
2019-03-30 06:02:00,23
2019-03-30 06:03:00,24
2019-03-30 06:04:00,21
2019-03-30 06:05:00,24
2019-03-30 06:06:00,23
2019-03-30 06:07:00,23
2019-03-30 06:08:00,24
2019-03-30 06:09:00,23
2019-03-30 06:10:00,24
2019-03-30 06:11:00,24
2019-03-30 06:12:00,23
2019-03-30 06:13:00,24
2019-03-30 06:14:00,23
2019-03-30 06:15:00,24
2019-03-30 06:16:00,23
2019-03-30 06:17:00,24
2019-03-30 06:18:00,23
2019-03-30 06:19:00,23
2019-03-30 06:20:00,23
2019-03-30 06:21:00,23
2019-03-30 06:22:00,23
2019-03-30 06:23:00,24
2019-03-30 06:24:00,22
2019-03-30 06:25:00,24
2019-03-30 06:26:00,23
2019-03-30 06:27:00,23
2019-03-30 06:28:00,24
2019-03-30 06:29:00,23
2019-03-30 06:30:00,23
2019-03-30 06:31:00,24
2019-03-30 06:32:00,24
2019-03-30 06:33:00,24
2019-03-30 06:34:00,23
2019-03-30 06:35:00,23
2019-03-30 06:36:00,23
2019-03-30 06:37:00,23
2019-03-30 06:38:00,23
2019-03-30 06:39:00,23
2019-03-30 06:40:00,24
2019-03-30 06:41:00,24
2019-03-30 06:42:00,23
2019-03-30 06:43:00,23
2019-03-30 06:44:00,24
2019-03-30 06:45:00,12
