5196,"SELECT ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,Err_u,Err_g,Err_r,Err_i,Err_z,flags_r,run   FROM Galaxy   WHERE   ra BETWEEN # and # AND dec BETWEEN # and #"
2019-03-30 19:58:00,52
2019-03-30 19:59:00,70
2019-03-30 20:00:00,62
2019-03-30 20:01:00,86
2019-03-30 20:02:00,70
2019-03-30 20:03:00,66
2019-03-30 20:04:00,76
2019-03-30 20:05:00,82
2019-03-30 20:06:00,106
2019-03-30 20:07:00,111
2019-03-30 20:08:00,92
2019-03-30 20:09:00,53
2019-03-30 20:10:00,64
2019-03-30 20:11:00,31
2019-03-30 20:12:00,36
2019-03-30 20:13:00,41
2019-03-30 20:14:00,54
2019-03-30 20:15:00,36
2019-03-30 20:16:00,57
2019-03-30 20:17:00,66
2019-03-30 20:18:00,80
2019-03-30 20:19:00,102
2019-03-30 20:20:00,83
2019-03-30 20:21:00,70
2019-03-30 20:22:00,77
2019-03-30 20:23:00,65
2019-03-30 20:24:00,76
2019-03-30 20:25:00,63
2019-03-30 20:26:00,73
2019-03-30 20:27:00,57
2019-03-30 20:28:00,63
2019-03-30 20:29:00,50
2019-03-30 20:30:00,60
2019-03-30 20:31:00,61
2019-03-30 20:32:00,56
2019-03-30 20:33:00,61
2019-03-30 20:34:00,64
2019-03-30 20:35:00,68
2019-03-30 20:36:00,93
2019-03-30 20:37:00,88
2019-03-30 20:38:00,114
2019-03-30 20:39:00,91
2019-03-30 20:40:00,96
2019-03-30 20:41:00,67
2019-03-30 20:42:00,71
2019-03-30 20:43:00,83
2019-03-30 20:44:00,71
2019-03-30 20:45:00,53
2019-03-30 20:46:00,51
2019-03-30 20:47:00,48
2019-03-30 20:48:00,53
2019-03-30 20:49:00,43
2019-03-30 20:50:00,58
2019-03-30 20:51:00,52
2019-03-30 20:52:00,37
2019-03-30 20:53:00,41
2019-03-30 20:54:00,40
2019-03-30 20:55:00,41
2019-03-30 20:56:00,54
2019-03-30 20:57:00,53
2019-03-30 20:58:00,48
2019-03-30 20:59:00,65
2019-03-30 21:00:00,65
2019-03-30 21:01:00,74
2019-03-30 21:02:00,76
2019-03-30 21:03:00,107
2019-03-30 21:04:00,78
2019-03-30 21:05:00,67
2019-03-30 21:06:00,62
2019-03-30 21:07:00,51
2019-03-30 21:08:00,68
2019-03-30 21:09:00,77
2019-03-30 21:10:00,76
2019-03-30 21:11:00,86
2019-03-30 21:12:00,61
2019-03-30 21:13:00,47
2019-03-30 21:14:00,45
2019-03-30 21:15:00,30
2019-03-30 21:16:00,19
2019-03-30 21:17:00,10
2019-03-30 21:18:00,9
2019-03-30 21:19:00,8
2019-03-30 21:20:00,12
2019-03-30 21:21:00,10
2019-03-30 21:22:00,6
2019-03-30 21:23:00,1
