91,"SELECT p.objid, p.ra, p.dec,p.dered_u,p.dered_g,p.dered_r,p.dered_i,p.dered_z,p.clean,p.flags                 , z.z as photoz,z.zErr as photozErr, s.z as specz,s.zErr as speczErr                 , dbo.fPhotoFlagsN(p.flags) as note                 FROM GALAXY as p                 LEFT OUTER JOIN photoz as z ON z.objID = p.objID                 LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.objID                 , dbo.fGetNearbyObjEq(#,#,#) as near                 WHERE p.objID = near.objID"
2019-05-30 07:24:00,2
2019-05-30 07:42:00,1
2019-05-30 07:43:00,5
2019-05-30 07:44:00,7
2019-05-30 07:45:00,7
2019-05-30 07:46:00,10
2019-05-30 07:47:00,8
2019-05-30 07:48:00,10
2019-05-30 07:49:00,10
2019-05-30 07:50:00,9
2019-05-30 07:51:00,10
2019-05-30 07:52:00,6
2019-05-30 07:53:00,6
