2,"select top # a.objid, b.specobjid, a.ra, a.dec, c.logmass, c.sfr from specobjall as b, photoobjall as a, stellarmasspassiveport as c where a.objid=b.bestobjid and    b.specobjid=c.specobjid and a.type=# and b.z<# and c.logmass># and c.logmass<# and a.petromag_g-a.petromag_r># and a.petror9#_r/a.petror5#_r<# and a.fracdev_r<#"
2019-05-30 07:45:00,1
2019-05-30 07:53:00,1
