44,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-05-30 05:46:00,1
2019-05-30 13:39:00,1
2019-05-30 13:41:00,1
2019-05-30 13:42:00,1
2019-05-30 13:50:00,1
2019-05-30 13:51:00,1
2019-05-30 15:32:00,1
2019-05-30 16:00:00,5
2019-05-30 16:01:00,6
2019-05-30 16:54:00,2
2019-05-30 16:55:00,12
2019-05-30 18:47:00,1
2019-05-30 18:49:00,2
2019-05-30 18:50:00,1
2019-05-30 21:08:00,1
2019-05-30 21:09:00,5
2019-05-30 22:09:00,1
2019-05-30 22:24:00,1
