1969,"UPDATE FramePathProcessing                         SET processed = #, goodMeltScore = #, fastBottomScore = #, fastTopScore = #, processedPath = &&&, cropPath = &&&                         WHERE Path = &&&"
2019-05-30 11:33:00,1
2019-05-30 11:48:00,13
2019-05-30 11:49:00,27
2019-05-30 11:50:00,31
2019-05-30 11:51:00,30
2019-05-30 11:52:00,29
2019-05-30 11:53:00,21
2019-05-30 11:55:00,7
2019-05-30 11:56:00,29
2019-05-30 11:57:00,29
2019-05-30 11:58:00,29
2019-05-30 11:59:00,29
2019-05-30 12:00:00,27
2019-05-30 12:01:00,29
2019-05-30 12:02:00,28
2019-05-30 12:03:00,28
2019-05-30 12:04:00,30
2019-05-30 12:05:00,29
2019-05-30 12:06:00,29
2019-05-30 12:07:00,29
2019-05-30 12:08:00,12
2019-05-30 12:09:00,28
2019-05-30 12:10:00,29
2019-05-30 12:11:00,30
2019-05-30 12:12:00,29
2019-05-30 12:13:00,30
2019-05-30 12:14:00,30
2019-05-30 12:15:00,30
2019-05-30 12:16:00,29
2019-05-30 12:17:00,29
2019-05-30 12:18:00,29
2019-05-30 12:19:00,30
2019-05-30 12:20:00,30
2019-05-30 12:21:00,29
2019-05-30 12:22:00,30
2019-05-30 12:23:00,30
2019-05-30 12:24:00,29
2019-05-30 12:25:00,30
2019-05-30 12:26:00,30
2019-05-30 12:27:00,30
2019-05-30 12:28:00,29
2019-05-30 12:29:00,30
2019-05-30 12:30:00,30
2019-05-30 12:31:00,29
2019-05-30 12:32:00,29
2019-05-30 12:33:00,29
2019-05-30 12:34:00,29
2019-05-30 12:35:00,30
2019-05-30 12:36:00,29
2019-05-30 12:37:00,30
2019-05-30 12:38:00,30
2019-05-30 12:39:00,30
2019-05-30 12:40:00,29
2019-05-30 12:41:00,30
2019-05-30 12:42:00,29
2019-05-30 12:43:00,27
2019-05-30 12:44:00,30
2019-05-30 12:45:00,30
2019-05-30 12:46:00,29
2019-05-30 12:47:00,23
2019-05-30 12:48:00,26
2019-05-30 12:49:00,29
2019-05-30 12:50:00,30
2019-05-30 12:51:00,28
2019-05-30 12:52:00,11
2019-05-30 12:53:00,27
2019-05-30 12:54:00,30
2019-05-30 12:55:00,30
2019-05-30 12:56:00,30
2019-05-30 12:57:00,29
2019-05-30 12:58:00,13
2019-05-30 12:59:00,9
2019-05-30 13:00:00,13
2019-05-30 13:01:00,3
2019-05-30 13:03:00,1
2019-05-30 13:04:00,1
2019-05-30 13:13:00,1
